player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
21,李愷諺,新北國王,16,2191,2617.0,33571.0,559.52,559:31,2098.19,34.97,34:58,199.0,12.44,7.6,12.8,186.0,11.62,7.11,11.97,70.0,4.38,2.67,4.5,120.0,7.5,4.59,7.72,53.0,3.31,2.03,3.41,66.0,4.12,2.52,4.25,17.0,1.06,0.65,1.09,57.0,3.56,2.18,3.67,42.0,2.62,1.6,2.7,18.0,1.12,0.69,1.16,49.0,3.06,1.87,3.15,81.0,5.06,3.1,5.21,26.0,1.62,0.99,1.67,9.0,0.56,0.34,0.58,44.0,2.75,1.68,2.83,36.0,2.25,1.38,2.32,257.0,16.06,9.82,16.54,44.36,42.53,1.83,48.0,3.0,1.83,112.25,0.42,0.47,0.44,0.26,0.74,0.17,0.23,9.75,0.04,0.24,0.11,0.99,0.34,0.01,9.82,0.31,1.78,0.59,-1.34,2617.0,16,163.6
25,林金榜,新北國王,14,521,623.0,7943.0,132.38,132:23,567.36,9.46,09:27,22.0,1.57,3.53,5.98,31.0,2.21,4.98,8.43,7.0,0.5,1.12,1.9,11.0,0.79,1.77,2.99,2.0,0.14,0.32,0.54,20.0,1.43,3.21,5.44,5.0,0.36,0.8,1.36,4.0,0.29,0.64,1.09,3.0,0.21,0.48,0.82,3.0,0.21,0.48,0.82,11.0,0.79,1.77,2.99,11.0,0.79,1.77,2.99,5.0,0.36,0.8,1.36,0.0,0.0,0.0,0.0,3.0,0.21,0.48,0.82,15.0,1.07,2.41,4.08,57.0,4.07,9.15,15.5,38.84,40.45,-1.61,-10.0,-0.71,-1.61,112.94,0.31,0.34,0.18,0.25,0.75,0.08,0.15,5.74,0.03,0.21,0.09,0.8,0.0,0.02,9.15,0.13,-0.33,-1.03,-0.71,623.0,14,44.5
29,林書緯,新北國王,17,2458,2887.0,37809.0,630.15,630:09,2224.06,37.07,37:04,217.0,12.76,7.52,12.4,209.0,12.29,7.24,11.94,83.0,4.88,2.87,4.74,117.0,6.88,4.05,6.68,47.0,2.76,1.63,2.69,92.0,5.41,3.19,5.26,36.0,2.12,1.25,2.06,20.0,1.18,0.69,1.14,15.0,0.88,0.52,0.86,12.0,0.71,0.42,0.69,40.0,2.35,1.39,2.29,110.0,6.47,3.81,6.28,18.0,1.06,0.62,1.03,6.0,0.35,0.21,0.34,47.0,2.76,1.63,2.69,32.0,1.88,1.11,1.83,284.0,16.71,9.84,16.22,44.82,44.82,0.0,0.0,0.0,0.0,109.95,0.48,0.5,0.4,0.39,0.75,0.18,0.27,9.17,0.02,0.18,0.07,0.62,0.21,0.01,9.84,0.1,0.39,0.78,0.39,2887.0,17,169.8
10875,傑登,新北國王,17,2085,2493.0,31596.0,526.6,526:36,1858.59,30.98,30:59,289.0,17.0,11.59,19.76,230.0,13.53,9.23,15.72,119.0,7.0,4.77,8.14,196.0,11.53,7.86,13.4,113.0,6.65,4.53,7.73,34.0,2.0,1.36,2.32,6.0,0.35,0.24,0.41,90.0,5.29,3.61,6.15,45.0,2.65,1.81,3.08,65.0,3.82,2.61,4.44,109.0,6.41,4.37,7.45,31.0,1.82,1.24,2.12,15.0,0.88,0.6,1.03,8.0,0.47,0.32,0.55,36.0,2.12,1.44,2.46,55.0,3.24,2.21,3.76,291.0,17.12,11.67,19.89,43.72,44.69,-0.96,-24.0,-1.41,-0.96,113.62,0.53,0.54,0.58,0.18,0.5,0.12,0.11,12.26,0.14,0.43,0.24,0.6,0.32,0.02,11.67,0.39,-0.73,0.08,0.76,2493.0,17,146.6
10876,尚迪,新北國王,7,779,952.0,11513.0,191.88,191:53,1644.71,27.41,27:25,78.0,11.14,8.19,14.63,80.0,11.43,8.4,15.01,31.0,4.43,3.26,5.82,48.0,6.86,5.04,9.01,26.0,3.71,2.73,4.88,32.0,4.57,3.36,6.0,5.0,0.71,0.53,0.94,17.0,2.43,1.79,3.19,11.0,1.57,1.16,2.06,17.0,2.43,1.79,3.19,32.0,4.57,3.36,6.0,9.0,1.29,0.95,1.69,6.0,0.86,0.63,1.13,2.0,0.29,0.21,0.38,16.0,2.29,1.68,3.0,17.0,2.43,1.79,3.19,105.0,15.0,11.03,19.7,39.81,41.91,-2.1,-20.0,-2.86,-2.1,119.07,0.42,0.45,0.54,0.16,0.65,0.15,0.08,10.87,0.11,0.31,0.19,0.63,0.21,0.02,11.03,0.21,-1.17,-1.46,-0.4,952.0,7,136.0
110,胡瓏貿,高雄全家海神,20,2146,2583.0,34330.0,572.17,572:10,1716.5,28.61,28:36,242.0,12.1,9.37,15.23,155.0,7.75,6.0,9.75,74.0,3.7,2.86,4.66,64.0,3.2,2.48,4.03,33.0,1.65,1.28,2.08,91.0,4.55,3.52,5.73,41.0,2.05,1.59,2.58,71.0,3.55,2.75,4.47,53.0,2.65,2.05,3.33,18.0,0.9,0.7,1.13,43.0,2.15,1.66,2.71,36.0,1.8,1.39,2.27,16.0,0.8,0.62,1.01,4.0,0.2,0.15,0.25,33.0,1.65,1.28,2.08,60.0,3.0,2.32,3.78,261.0,13.05,10.1,16.42,42.66,46.15,-3.48,-90.0,-4.5,-3.48,108.35,0.61,0.65,0.52,0.45,0.75,0.15,0.11,8.49,0.04,0.2,0.09,0.62,0.15,0.02,10.1,0.46,-1.17,-0.28,0.8,2583.0,20,129.2
118,蘇文儒,高雄全家海神,14,1690,2030.0,27383.0,456.38,456:23,1955.93,32.6,32:36,180.0,12.86,8.87,14.2,128.0,9.14,6.31,10.1,59.0,4.21,2.91,4.65,46.0,3.29,2.27,3.63,24.0,1.71,1.18,1.89,82.0,5.86,4.04,6.47,35.0,2.5,1.72,2.76,29.0,2.07,1.43,2.29,27.0,1.93,1.33,2.13,13.0,0.93,0.64,1.03,35.0,2.5,1.72,2.76,34.0,2.43,1.67,2.68,13.0,0.93,0.64,1.03,4.0,0.29,0.2,0.32,18.0,1.29,0.89,1.42,56.0,4.0,2.76,4.42,215.0,15.36,10.59,16.96,43.94,42.91,1.03,21.0,1.5,1.03,106.75,0.6,0.64,0.52,0.43,0.93,0.11,0.13,7.82,0.04,0.21,0.1,0.64,0.2,0.03,10.59,0.23,2.39,0.92,-1.42,2030.0,14,145.0
121,吳曉謹,高雄全家海神,21,1328,1615.0,20583.0,343.05,343:03,980.14,16.34,16:20,88.0,4.19,5.45,9.23,99.0,4.71,6.13,10.39,34.0,1.62,2.11,3.57,43.0,2.05,2.66,4.51,20.0,0.95,1.24,2.1,56.0,2.67,3.47,5.88,14.0,0.67,0.87,1.47,9.0,0.43,0.56,0.94,6.0,0.29,0.37,0.63,17.0,0.81,1.05,1.78,9.0,0.43,0.56,0.94,12.0,0.57,0.74,1.26,16.0,0.76,0.99,1.68,2.0,0.1,0.12,0.21,16.0,0.76,0.99,1.68,29.0,1.38,1.8,3.04,195.0,9.29,12.07,20.46,41.18,48.42,-7.24,-117.0,-5.57,-7.24,112.99,0.41,0.43,0.47,0.25,0.67,0.13,0.06,7.37,0.06,0.08,0.07,0.99,0.12,0.02,12.07,0.09,-2.03,-0.42,1.66,1615.0,21,76.9
10892,詹姆斯,高雄全家海神,4,527,657.0,8106.0,135.1,135:06,2026.5,33.78,33:46,92.0,23.0,14.0,24.52,79.0,19.75,12.02,21.05,35.0,8.75,5.33,9.33,59.0,14.75,8.98,15.72,33.0,8.25,5.02,8.79,20.0,5.0,3.04,5.33,2.0,0.5,0.3,0.53,28.0,7.0,4.26,7.46,20.0,5.0,3.04,5.33,7.0,1.75,1.07,1.87,31.0,7.75,4.72,8.26,19.0,4.75,2.89,5.06,8.0,2.0,1.22,2.13,2.0,0.5,0.3,0.53,23.0,5.75,3.5,6.13,10.0,2.5,1.52,2.66,88.0,22.0,13.39,23.45,40.33,44.75,-4.41,-29.0,-7.25,-4.41,116.71,0.46,0.5,0.56,0.1,0.71,0.2,0.33,17.4,0.06,0.34,0.19,1.22,0.3,0.02,13.39,0.35,-0.68,-0.57,0.06,657.0,4,164.2
10894,凱帝,高雄全家海神,12,1356,1630.0,21607.0,360.12,360:07,1800.58,30.01,30:01,189.0,15.75,11.6,18.89,149.0,12.42,9.14,14.9,61.0,5.08,3.74,6.1,96.0,8.0,5.89,9.6,49.0,4.08,3.01,4.9,53.0,4.42,3.25,5.3,12.0,1.0,0.74,1.2,72.0,6.0,4.42,7.2,55.0,4.58,3.37,5.5,33.0,2.75,2.02,3.3,81.0,6.75,4.97,8.1,16.0,1.33,0.98,1.6,9.0,0.75,0.55,0.9,9.0,0.75,0.55,0.9,22.0,1.83,1.35,2.2,34.0,2.83,2.09,3.4,164.0,13.67,10.06,16.39,42.94,45.71,-2.76,-45.0,-3.75,-2.76,108.63,0.45,0.52,0.51,0.23,0.76,0.11,0.09,12.43,0.12,0.41,0.24,0.55,0.55,0.02,10.06,0.48,-0.27,0.11,0.38,1630.0,12,135.8
