player_id,player_name,team_name,opp_player_id,opp_player_name,opp_team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
22,簡祐哲,新北國王,75,高國豪,新竹御嵿攻城獅,1,29,35.0,479.0,7.98,07:59,479.0,7.98,07:59,16.0,16.0,45.71,72.15,11.0,11.0,31.43,49.6,12.0,12.0,34.29,54.11,7.0,7.0,20.0,31.57,11.0,11.0,31.43,49.6,7.0,7.0,20.0,31.57,1.0,1.0,2.86,4.51,0.0,0.0,0.0,0.0,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,3.0,3.0,8.57,13.53,2.0,2.0,5.71,9.02,5.0,5.0,14.29,22.55,4.0,4.0,11.43,18.04,3.0,3.0,8.57,13.53,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,45.71,31.43,14.29,105.22,5.0,5.0,14.29,7.98,7.98,0.58,0.62,0.64,0.0,1.0,0.24,0.43,0.29,0.6,0.42,8.57,2.86,0.09,2.86,0.17
22,簡祐哲,新北國王,76,曾柏喻,新竹御嵿攻城獅,1,29,35.0,479.0,7.98,07:59,479.0,7.98,07:59,16.0,16.0,45.71,72.15,11.0,11.0,31.43,49.6,12.0,12.0,34.29,54.11,7.0,7.0,20.0,31.57,11.0,11.0,31.43,49.6,7.0,7.0,20.0,31.57,1.0,1.0,2.86,4.51,0.0,0.0,0.0,0.0,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,3.0,3.0,8.57,13.53,2.0,2.0,5.71,9.02,5.0,5.0,14.29,22.55,4.0,4.0,11.43,18.04,3.0,3.0,8.57,13.53,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,45.71,31.43,14.29,105.22,5.0,5.0,14.29,7.98,7.98,0.58,0.62,0.64,0.0,1.0,0.24,0.43,0.29,0.6,0.42,8.57,2.86,0.09,2.86,0.17
22,簡祐哲,新北國王,10885,劉丞勳,新竹御嵿攻城獅,1,29,35.0,479.0,7.98,07:59,479.0,7.98,07:59,16.0,16.0,45.71,72.15,11.0,11.0,31.43,49.6,12.0,12.0,34.29,54.11,7.0,7.0,20.0,31.57,11.0,11.0,31.43,49.6,7.0,7.0,20.0,31.57,1.0,1.0,2.86,4.51,0.0,0.0,0.0,0.0,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,2.0,2.0,5.71,9.02,3.0,3.0,8.57,13.53,2.0,2.0,5.71,9.02,5.0,5.0,14.29,22.55,4.0,4.0,11.43,18.04,3.0,3.0,8.57,13.53,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,3.0,3.0,8.57,13.53,1.0,1.0,2.86,4.51,45.71,31.43,14.29,105.22,5.0,5.0,14.29,7.98,7.98,0.58,0.62,0.64,0.0,1.0,0.24,0.43,0.29,0.6,0.42,8.57,2.86,0.09,2.86,0.17
22,簡祐哲,新北國王,10887,德魯,新竹御嵿攻城獅,1,39,45.0,667.27,11.12,11:07,667.27,11.12,11:07,24.0,24.0,53.33,77.69,16.0,16.0,35.56,51.79,15.0,15.0,33.33,48.56,9.0,9.0,20.0,29.13,12.0,12.0,26.67,38.85,7.0,7.0,15.56,22.66,3.0,3.0,6.67,9.71,2.0,2.0,4.44,6.47,4.0,4.0,8.89,12.95,4.0,4.0,8.89,12.95,2.0,2.0,4.44,6.47,4.0,4.0,8.89,12.95,2.0,2.0,4.44,6.47,9.0,9.0,20.0,29.13,5.0,5.0,11.11,16.19,4.0,4.0,8.89,12.95,4.0,4.0,8.89,12.95,1.0,1.0,2.22,3.24,6.0,6.0,13.33,19.42,5.0,5.0,11.11,16.19,53.33,35.56,17.78,97.11,8.0,8.0,17.78,11.12,11.12,0.67,0.72,0.58,0.67,1.0,0.23,0.44,0.18,0.67,0.35,8.89,2.22,0.13,11.11,0.27
22,簡祐哲,新北國王,10888,帕塞獅,新竹御嵿攻城獅,1,25,29.0,418.0,6.97,06:58,418.0,6.97,06:58,14.0,14.0,48.28,72.34,15.0,15.0,51.72,77.51,12.0,12.0,41.38,62.01,7.0,7.0,24.14,36.17,11.0,11.0,37.93,56.84,7.0,7.0,24.14,36.17,1.0,1.0,3.45,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.45,5.17,4.0,4.0,13.79,20.67,3.0,3.0,10.34,15.5,3.0,3.0,10.34,15.5,2.0,2.0,6.9,10.33,3.0,3.0,10.34,15.5,1.0,1.0,3.45,5.17,1.0,1.0,3.45,5.17,2.0,2.0,6.9,10.33,0.0,0.0,0.0,0.0,48.28,51.72,-3.45,99.9,-1.0,-1.0,-3.45,6.97,6.97,0.58,0.58,0.64,0.0,,0.14,0.43,0.25,0.57,0.45,3.45,3.45,0.07,0.0,0.0
28,呂政儒,新北國王,75,高國豪,新竹御嵿攻城獅,1,45,51.0,683.8,11.4,11:24,683.8,11.4,11:24,20.0,20.0,39.22,63.18,17.0,17.0,33.33,53.7,17.0,17.0,33.33,53.7,8.0,8.0,15.69,25.27,14.0,14.0,27.45,44.22,8.0,8.0,15.69,25.27,3.0,3.0,5.88,9.48,0.0,0.0,0.0,0.0,4.0,4.0,7.84,12.64,4.0,4.0,7.84,12.64,2.0,2.0,3.92,6.32,7.0,7.0,13.73,22.11,2.0,2.0,3.92,6.32,9.0,9.0,17.65,28.43,5.0,5.0,9.8,15.79,4.0,4.0,7.84,12.64,3.0,3.0,5.88,9.48,2.0,2.0,3.92,6.32,4.0,4.0,7.84,12.64,2.0,2.0,3.92,6.32,39.22,33.33,5.88,107.4,3.0,3.0,5.88,11.4,11.4,0.47,0.53,0.57,0.0,1.0,0.21,0.5,0.18,0.78,0.45,5.88,3.92,0.08,3.92,0.24
28,呂政儒,新北國王,76,曾柏喻,新竹御嵿攻城獅,1,57,65.0,835.97,13.93,13:56,835.97,13.93,13:56,28.0,28.0,43.08,72.35,19.0,19.0,29.23,49.09,23.0,23.0,35.38,59.43,11.0,11.0,16.92,28.42,20.0,20.0,30.77,51.68,11.0,11.0,16.92,28.42,3.0,3.0,4.62,7.75,0.0,0.0,0.0,0.0,6.0,6.0,9.23,15.5,6.0,6.0,9.23,15.5,4.0,4.0,6.15,10.34,8.0,8.0,12.31,20.67,2.0,2.0,3.08,5.17,11.0,11.0,16.92,28.42,6.0,6.0,9.23,15.5,7.0,7.0,10.77,18.09,4.0,4.0,6.15,10.34,3.0,3.0,4.62,7.75,4.0,4.0,6.15,10.34,4.0,4.0,6.15,10.34,43.08,29.23,13.85,111.97,9.0,9.0,13.85,13.93,13.93,0.48,0.55,0.55,0.0,1.0,0.19,0.64,0.27,0.8,0.48,6.15,4.62,0.06,6.15,0.26
28,呂政儒,新北國王,10885,劉丞勳,新竹御嵿攻城獅,1,46,54.0,677.68,11.29,11:18,677.68,11.29,11:18,24.0,24.0,44.44,76.5,11.0,11.0,20.37,35.06,19.0,19.0,35.19,60.56,9.0,9.0,16.67,28.69,17.0,17.0,31.48,54.18,9.0,9.0,16.67,28.69,2.0,2.0,3.7,6.37,0.0,0.0,0.0,0.0,6.0,6.0,11.11,19.12,6.0,6.0,11.11,19.12,4.0,4.0,7.41,12.75,6.0,6.0,11.11,19.12,2.0,2.0,3.7,6.37,9.0,9.0,16.67,28.69,5.0,5.0,9.26,15.94,5.0,5.0,9.26,15.94,3.0,3.0,5.56,9.56,3.0,3.0,5.56,9.56,3.0,3.0,5.56,9.56,2.0,2.0,3.7,6.37,44.44,20.37,24.07,114.74,13.0,13.0,24.07,11.29,11.29,0.47,0.55,0.53,0.0,1.0,0.19,0.56,0.31,0.75,0.48,5.56,5.56,0.06,3.7,0.32
28,呂政儒,新北國王,10887,德魯,新竹御嵿攻城獅,1,95,109.0,1463.09,24.38,24:23,1463.09,24.38,24:23,45.0,45.0,41.28,66.43,39.0,39.0,35.78,57.58,42.0,42.0,38.53,62.01,16.0,16.0,14.68,23.62,28.0,28.0,25.69,41.34,13.0,13.0,11.93,19.19,14.0,14.0,12.84,20.67,3.0,3.0,2.75,4.43,10.0,10.0,9.17,14.76,10.0,10.0,9.17,14.76,8.0,8.0,7.34,11.81,17.0,17.0,15.6,25.1,4.0,4.0,3.67,5.91,21.0,21.0,19.27,31.0,8.0,8.0,7.34,11.81,12.0,12.0,11.01,17.72,6.0,6.0,5.5,8.86,3.0,3.0,2.75,4.43,8.0,8.0,7.34,11.81,9.0,9.0,8.26,13.29,41.28,35.78,5.5,107.28,6.0,6.0,5.5,24.38,24.38,0.42,0.48,0.46,0.21,1.0,0.15,0.75,0.28,0.81,0.5,5.5,2.75,0.07,8.26,0.24
28,呂政儒,新北國王,10888,帕塞獅,新竹御嵿攻城獅,1,20,23.0,320.0,5.33,05:20,320.0,5.33,05:20,12.0,12.0,52.17,81.0,10.0,10.0,43.48,67.5,9.0,9.0,39.13,60.75,6.0,6.0,26.09,40.5,8.0,8.0,34.78,54.0,6.0,6.0,26.09,40.5,1.0,1.0,4.35,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.35,6.75,2.0,2.0,8.7,13.5,2.0,2.0,8.7,13.5,3.0,3.0,13.04,20.25,2.0,2.0,8.7,13.5,3.0,3.0,13.04,20.25,1.0,1.0,4.35,6.75,1.0,1.0,4.35,6.75,2.0,2.0,8.7,13.5,0.0,0.0,0.0,0.0,52.17,43.48,8.7,103.5,2.0,2.0,8.7,5.33,5.33,0.67,0.67,0.75,0.0,,0.18,0.5,0.25,0.5,0.38,4.35,4.35,0.09,0.0,0.0
