player_id,player_name,team_name,lineup_size,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
10885,劉丞勳,新竹御嵿攻城獅,4,76|88|10885|10888,曾柏喻/盧冠軒/劉丞勳/帕塞獅,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
10885,劉丞勳,新竹御嵿攻城獅,4,76|88|10885|14843,曾柏喻/盧冠軒/劉丞勳/馬力,1,22,24.0,309.86,5.16,05:10,309.86,5.16,05:10,11.0,11.0,45.83,76.68,9.0,9.0,37.5,62.74,8.0,8.0,33.33,55.77,3.0,3.0,12.5,20.91,5.0,5.0,20.83,34.86,2.0,2.0,8.33,13.94,3.0,3.0,12.5,20.91,1.0,1.0,4.17,6.97,6.0,6.0,25.0,41.83,4.0,4.0,16.67,27.88,1.0,1.0,4.17,6.97,5.0,5.0,20.83,34.86,2.0,2.0,8.33,13.94,7.0,7.0,29.17,48.8,1.0,1.0,4.17,6.97,3.0,3.0,12.5,20.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.5,20.91,3.0,3.0,12.5,20.91,45.83,37.5,8.33,111.54,2.0,2.0,8.33,5.16,5.16,0.44,0.52,0.4,0.33,0.67,0.09,1.0,0.12,0.71,0.4,0.0,0.0,0.12,12.5,0.75
10885,劉丞勳,新竹御嵿攻城獅,4,76|10885|10888|14843,曾柏喻/劉丞勳/帕塞獅/馬力,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
10885,劉丞勳,新竹御嵿攻城獅,4,88|10885|10888|14843,盧冠軒/劉丞勳/帕塞獅/馬力,1,16,16.0,206.12,3.44,03:26,206.12,3.44,03:26,8.0,8.0,50.0,83.83,8.0,8.0,50.0,83.83,6.0,6.0,37.5,62.88,3.0,3.0,18.75,31.44,5.0,5.0,31.25,52.4,3.0,3.0,18.75,31.44,1.0,1.0,6.25,10.48,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,5.0,5.0,31.25,52.4,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,50.0,50.0,0.0,111.78,0.0,0.0,0.0,3.44,3.44,0.5,0.58,0.6,0.0,1.0,0.13,0.67,0.17,1.0,0.38,0.0,0.0,0.12,6.25,0.33
10885,劉丞勳,新竹御嵿攻城獅,5,76|88|10885|10888|14843,曾柏喻/盧冠軒/劉丞勳/帕塞獅/馬力,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
10888,帕塞獅,新竹御嵿攻城獅,3,88|10885|10888,盧冠軒/劉丞勳/帕塞獅,1,16,16.0,206.12,3.44,03:26,206.12,3.44,03:26,8.0,8.0,50.0,83.83,8.0,8.0,50.0,83.83,6.0,6.0,37.5,62.88,3.0,3.0,18.75,31.44,5.0,5.0,31.25,52.4,3.0,3.0,18.75,31.44,1.0,1.0,6.25,10.48,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,5.0,5.0,31.25,52.4,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,50.0,50.0,0.0,111.78,0.0,0.0,0.0,3.44,3.44,0.5,0.58,0.6,0.0,1.0,0.13,0.67,0.17,1.0,0.38,0.0,0.0,0.12,6.25,0.33
10888,帕塞獅,新竹御嵿攻城獅,3,10885|10888|14843,劉丞勳/帕塞獅/馬力,1,16,16.0,206.12,3.44,03:26,206.12,3.44,03:26,8.0,8.0,50.0,83.83,8.0,8.0,50.0,83.83,6.0,6.0,37.5,62.88,3.0,3.0,18.75,31.44,5.0,5.0,31.25,52.4,3.0,3.0,18.75,31.44,1.0,1.0,6.25,10.48,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,5.0,5.0,31.25,52.4,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,50.0,50.0,0.0,111.78,0.0,0.0,0.0,3.44,3.44,0.5,0.58,0.6,0.0,1.0,0.13,0.67,0.17,1.0,0.38,0.0,0.0,0.12,6.25,0.33
10888,帕塞獅,新竹御嵿攻城獅,4,76|88|10885|10888,曾柏喻/盧冠軒/劉丞勳/帕塞獅,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
10888,帕塞獅,新竹御嵿攻城獅,4,76|10885|10888|14843,曾柏喻/劉丞勳/帕塞獅/馬力,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
10888,帕塞獅,新竹御嵿攻城獅,4,88|10885|10888|14843,盧冠軒/劉丞勳/帕塞獅/馬力,1,16,16.0,206.12,3.44,03:26,206.12,3.44,03:26,8.0,8.0,50.0,83.83,8.0,8.0,50.0,83.83,6.0,6.0,37.5,62.88,3.0,3.0,18.75,31.44,5.0,5.0,31.25,52.4,3.0,3.0,18.75,31.44,1.0,1.0,6.25,10.48,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,5.0,5.0,31.25,52.4,1.0,1.0,6.25,10.48,2.0,2.0,12.5,20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.5,20.96,1.0,1.0,6.25,10.48,50.0,50.0,0.0,111.78,0.0,0.0,0.0,3.44,3.44,0.5,0.58,0.6,0.0,1.0,0.13,0.67,0.17,1.0,0.38,0.0,0.0,0.12,6.25,0.33
10888,帕塞獅,新竹御嵿攻城獅,5,76|88|10885|10888|14843,曾柏喻/盧冠軒/劉丞勳/帕塞獅/馬力,1,11,11.0,119.12,1.99,01:59,119.12,1.99,01:59,6.0,6.0,54.55,108.8,4.0,4.0,36.36,72.53,5.0,5.0,45.45,90.66,2.0,2.0,18.18,36.27,4.0,4.0,36.36,72.53,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,2.0,2.0,18.18,36.27,0.0,0.0,0.0,0.0,4.0,4.0,36.36,72.53,0.0,0.0,0.0,0.0,1.0,1.0,9.09,18.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.18,36.27,1.0,1.0,9.09,18.13,54.55,36.36,18.18,132.97,2.0,2.0,18.18,1.99,1.99,0.4,0.51,0.5,0.0,1.0,0.0,0.5,0.2,1.0,0.43,0.0,0.0,0.18,9.09,0.4
