lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,福爾摩沙夢想家,73|86,陳振傑/林俊吉,2,58,72.0,938.37,15.64,15:38,469.18,7.82,07:49,30.0,15.0,41.67,69.06,33.0,16.5,45.83,75.96,30.0,15.0,41.67,69.06,10.0,5.0,13.89,23.02,9.0,4.5,12.5,20.72,4.0,2.0,5.56,9.21,21.0,10.5,29.17,48.34,6.0,3.0,8.33,13.81,7.0,3.5,9.72,16.11,4.0,2.0,5.56,9.21,7.0,3.5,9.72,16.11,13.0,6.5,18.06,29.92,3.0,1.5,4.17,6.91,12.0,6.0,16.67,27.62,6.0,3.0,8.33,13.81,4.0,2.0,5.56,9.21,3.0,1.5,4.17,6.91,3.0,1.5,4.17,6.91,6.0,3.0,8.33,13.81,4.0,2.0,5.56,9.21,41.67,45.83,-4.17,110.49,-3.0,-1.5,-4.17,15.64,7.82,0.43,0.45,0.44,0.29,0.57,0.15,0.4,0.37,0.81,0.57,4.17,4.17,0.08,5.56,0.23
2,福爾摩沙夢想家,73|94,陳振傑/簡浩,3,67,82.0,1106.62,18.44,18:27,368.87,6.15,06:09,43.0,14.33,52.44,83.93,30.0,10.0,36.59,58.56,34.0,11.33,41.46,66.36,15.0,5.0,18.29,29.28,13.0,4.33,15.85,25.37,8.0,2.67,9.76,15.62,21.0,7.0,25.61,40.99,7.0,2.33,8.54,13.66,6.0,2.0,7.32,11.71,6.0,2.0,7.32,11.71,8.0,2.67,9.76,15.62,8.0,2.67,9.76,15.62,3.0,1.0,3.66,5.86,17.0,5.67,20.73,33.18,9.0,3.0,10.98,17.57,6.0,2.0,7.32,11.71,5.0,1.67,6.1,9.76,2.0,0.67,2.44,3.9,5.0,1.67,6.1,9.76,12.0,4.0,14.63,23.42,52.44,36.59,15.85,106.7,13.0,4.33,15.85,18.44,6.15,0.54,0.59,0.62,0.33,1.0,0.2,0.4,0.32,0.73,0.44,6.1,2.44,0.06,14.63,0.18
2,福爾摩沙夢想家,73|103,陳振傑/忻沃克,3,44,54.0,699.26,11.65,11:39,233.08,3.88,03:53,27.0,9.0,50.0,83.4,22.0,7.33,40.74,67.96,20.0,6.67,37.04,61.78,9.0,3.0,16.67,27.8,6.0,2.0,11.11,18.53,5.0,1.67,9.26,15.45,14.0,4.67,25.93,43.25,4.0,1.33,7.41,12.36,8.0,2.67,14.81,24.71,5.0,1.67,9.26,15.45,4.0,1.33,7.41,12.36,8.0,2.67,14.81,24.71,3.0,1.0,5.56,9.27,10.0,3.33,18.52,30.89,4.0,1.33,7.41,12.36,6.0,2.0,11.11,18.53,1.0,0.33,1.85,3.09,0.0,0.0,0.0,0.0,8.0,2.67,14.81,24.71,8.0,2.67,14.81,24.71,50.0,40.74,9.26,111.2,5.0,1.67,9.26,11.65,3.88,0.55,0.57,0.83,0.29,0.62,0.15,0.67,0.29,0.73,0.48,1.85,0.0,0.15,14.81,0.4
2,福爾摩沙夢想家,73|106,陳振傑/高柏鎧,3,57,71.0,992.4,16.54,16:32,330.8,5.51,05:31,39.0,13.0,54.93,84.89,20.0,6.67,28.17,43.53,28.0,9.33,39.44,60.94,12.0,4.0,16.9,26.12,9.0,3.0,12.68,19.59,5.0,1.67,7.04,10.88,19.0,6.33,26.76,41.35,7.0,2.33,9.86,15.24,13.0,4.33,18.31,28.3,9.0,3.0,12.68,19.59,7.0,2.33,9.86,15.24,11.0,3.67,15.49,23.94,1.0,0.33,1.41,2.18,14.0,4.67,19.72,30.47,8.0,2.67,11.27,17.41,8.0,2.67,11.27,17.41,2.0,0.67,2.82,4.35,2.0,0.67,2.82,4.35,12.0,4.0,16.9,26.12,4.0,1.33,5.63,8.71,54.93,28.17,26.76,103.02,19.0,6.33,26.76,16.54,5.51,0.55,0.58,0.56,0.37,0.69,0.19,0.67,0.33,0.92,0.55,2.82,2.82,0.17,5.63,0.46
2,福爾摩沙夢想家,86|94,林俊吉/簡浩,3,80,95.0,1379.94,23.0,23:00,459.98,7.67,07:40,50.0,16.67,52.63,78.26,42.0,14.0,44.21,65.74,41.0,13.67,43.16,64.18,18.0,6.0,18.95,28.18,16.0,5.33,16.84,25.04,9.0,3.0,9.47,14.09,25.0,8.33,26.32,39.13,9.0,3.0,9.47,14.09,5.0,1.67,5.26,7.83,5.0,1.67,5.26,7.83,7.0,2.33,7.37,10.96,14.0,4.67,14.74,21.91,5.0,1.67,5.26,7.83,18.0,6.0,18.95,28.18,6.0,2.0,6.32,9.39,10.0,3.33,10.53,15.65,3.0,1.0,3.16,4.7,2.0,0.67,2.11,3.13,8.0,2.67,8.42,12.52,15.0,5.0,15.79,23.48,52.63,44.21,8.42,99.13,8.0,2.67,8.42,23.0,7.67,0.55,0.58,0.56,0.36,1.0,0.12,0.56,0.28,0.74,0.48,3.16,2.11,0.08,15.79,0.12
2,福爾摩沙夢想家,94|103,簡浩/忻沃克,3,53,61.0,849.96,14.17,14:10,283.32,4.72,04:43,34.0,11.33,55.74,86.4,27.0,9.0,44.26,68.61,23.0,7.67,37.7,58.45,12.0,4.0,19.67,30.5,11.0,3.67,18.03,27.95,7.0,2.33,11.48,17.79,12.0,4.0,19.67,30.5,5.0,1.67,8.2,12.71,5.0,1.67,8.2,12.71,5.0,1.67,8.2,12.71,4.0,1.33,6.56,10.17,7.0,2.33,11.48,17.79,5.0,1.67,8.2,12.71,13.0,4.33,21.31,33.04,5.0,1.67,8.2,12.71,8.0,2.67,13.11,20.33,3.0,1.0,4.92,7.62,0.0,0.0,0.0,0.0,6.0,2.0,9.84,15.25,20.0,6.67,32.79,50.83,55.74,44.26,11.48,103.35,7.0,2.33,11.48,14.17,4.72,0.63,0.67,0.64,0.42,1.0,0.17,0.67,0.24,0.58,0.38,4.92,0.0,0.1,32.79,0.22
2,福爾摩沙夢想家,94|106,簡浩/高柏鎧,3,97,121.0,1686.75,28.11,28:07,562.25,9.37,09:22,51.0,17.0,42.15,65.31,47.0,15.67,38.84,60.19,42.0,14.0,34.71,53.78,18.0,6.0,14.88,23.05,19.0,6.33,15.7,24.33,10.0,3.33,8.26,12.81,23.0,7.67,19.01,29.45,8.0,2.67,6.61,10.24,9.0,3.0,7.44,11.53,7.0,2.33,5.79,8.96,6.0,2.0,4.96,7.68,17.0,5.67,14.05,21.77,11.0,3.67,9.09,14.09,19.0,6.33,15.7,24.33,11.0,3.67,9.09,14.09,8.0,2.67,6.61,10.24,5.0,1.67,4.13,6.4,3.0,1.0,2.48,3.84,13.0,4.33,10.74,16.65,8.0,2.67,6.61,10.24,42.15,38.84,3.31,103.3,4.0,1.33,3.31,28.11,9.37,0.52,0.55,0.53,0.35,0.78,0.19,0.44,0.24,0.61,0.43,4.13,2.48,0.11,6.61,0.21
2,福爾摩沙夢想家,103|106,忻沃克/高柏鎧,3,78,93.0,1969.21,32.82,32:49,656.4,10.94,10:56,46.0,15.33,49.46,50.46,35.0,11.67,37.63,38.39,34.0,11.33,36.56,37.29,15.0,5.0,16.13,16.45,12.0,4.0,12.9,13.16,8.0,2.67,8.6,8.78,22.0,7.33,23.66,24.13,7.0,2.33,7.53,7.68,15.0,5.0,16.13,16.45,10.0,3.33,10.75,10.97,6.0,2.0,6.45,6.58,16.0,5.33,17.2,17.55,4.0,1.33,4.3,4.39,17.0,5.67,18.28,18.65,8.0,2.67,8.6,8.78,12.0,4.0,12.9,13.16,4.0,1.33,4.3,4.39,1.0,0.33,1.08,1.1,12.0,4.0,12.9,13.16,14.0,4.67,15.05,15.36,49.46,37.63,11.83,68.01,11.0,3.67,11.83,32.82,10.94,0.54,0.57,0.67,0.32,0.67,0.16,0.8,0.26,0.8,0.51,4.3,1.08,0.13,15.05,0.44
2,高雄全家海神,117|118,摩爾斯/蘇文儒,6,379,458.0,6757.76,112.63,112:38,1126.29,18.77,18:46,216.0,36.0,47.16,69.04,215.0,35.83,46.94,68.72,164.0,27.33,35.81,52.42,68.0,11.33,14.85,21.74,85.0,14.17,18.56,27.17,39.0,6.5,8.52,12.47,79.0,13.17,17.25,25.25,29.0,4.83,6.33,9.27,69.0,11.5,15.07,22.05,51.0,8.5,11.14,16.3,31.0,5.17,6.77,9.91,68.0,11.33,14.85,21.74,29.0,4.83,6.33,9.27,70.0,11.67,15.28,22.37,31.0,5.17,6.77,9.91,47.0,7.83,10.26,15.02,19.0,3.17,4.15,6.07,8.0,1.33,1.75,2.56,52.0,8.67,11.35,16.62,51.0,8.5,11.14,16.3,47.16,46.94,0.22,97.59,1.0,0.17,0.22,112.63,18.77,0.5,0.56,0.46,0.37,0.74,0.14,0.69,0.31,0.7,0.5,4.15,1.75,0.11,11.14,0.42
2,高雄全家海神,118|122,蘇文儒/陳懷安,8,347,414.0,5634.2,93.9,93:54,704.28,11.74,11:44,187.0,23.38,45.17,71.69,212.0,26.5,51.21,81.28,139.0,17.38,33.57,53.29,63.0,7.88,15.22,24.15,71.0,8.88,17.15,27.22,38.0,4.75,9.18,14.57,68.0,8.5,16.43,26.07,25.0,3.12,6.04,9.58,53.0,6.62,12.8,20.32,38.0,4.75,9.18,14.57,19.0,2.38,4.59,7.28,61.0,7.62,14.73,23.39,29.0,3.62,7.0,11.12,58.0,7.25,14.01,22.24,33.0,4.12,7.97,12.65,42.0,5.25,10.14,16.1,19.0,2.38,4.59,7.28,10.0,1.25,2.42,3.83,51.0,6.38,12.32,19.55,38.0,4.75,9.18,14.57,45.17,51.21,-6.04,105.81,-25.0,-3.12,-6.04,93.9,11.74,0.54,0.58,0.54,0.37,0.72,0.17,0.67,0.25,0.68,0.48,4.59,2.42,0.12,9.18,0.38
