player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4181,艾德,高雄全家海神,7,794,946.0,12474.0,207.9,207:54,1782.0,29.7,29:42,122.0,17.43,12.9,21.13,88.0,12.57,9.3,15.24,42.0,6.0,4.44,7.27,52.0,7.43,5.5,9.0,30.0,4.29,3.17,5.19,36.0,5.14,3.81,6.23,12.0,1.71,1.27,2.08,35.0,5.0,3.7,6.06,26.0,3.71,2.75,4.5,18.0,2.57,1.9,3.12,41.0,5.86,4.33,7.1,16.0,2.29,1.69,2.77,7.0,1.0,0.74,1.21,4.0,0.57,0.42,0.69,16.0,2.29,1.69,2.77,21.0,3.0,2.22,3.64,106.0,15.14,11.21,18.35,44.19,41.33,2.85,27.0,3.86,2.85,109.21,0.55,0.59,0.58,0.33,0.74,0.13,0.38,12.62,0.11,0.41,0.23,0.74,0.42,0.02,11.21,0.4
99,盧冠良,福爾摩沙夢想家,1,41,47.0,690.0,11.5,11:30,690.0,11.5,11:30,3.0,3.0,6.38,9.39,4.0,4.0,8.51,12.52,1.0,1.0,2.13,3.13,2.0,2.0,4.26,6.26,0.0,0.0,0.0,0.0,2.0,2.0,4.26,6.26,1.0,1.0,2.13,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.13,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.26,6.26,0.0,0.0,0.0,0.0,5.0,5.0,10.64,15.65,38.3,76.6,-38.3,-18.0,-18.0,-38.3,98.09,0.38,0.38,0.0,0.5,,0.33,0.0,12.77,0.14,,0.14,0.0,0.0,0.0,10.64,0.0
109,于煥亞,高雄全家海神,12,1356,1609.0,20920.0,348.67,348:40,1743.33,29.06,29:03,131.0,10.92,8.14,13.53,107.0,8.92,6.65,11.05,43.0,3.58,2.67,4.44,26.0,2.17,1.62,2.68,15.0,1.25,0.93,1.55,81.0,6.75,5.03,8.36,28.0,2.33,1.74,2.89,22.0,1.83,1.37,2.27,17.0,1.42,1.06,1.76,1.0,0.08,0.06,0.1,14.0,1.17,0.87,1.45,45.0,3.75,2.8,4.65,11.0,0.92,0.68,1.14,1.0,0.08,0.06,0.1,26.0,2.17,1.62,2.68,26.0,2.17,1.62,2.68,185.0,15.42,11.5,19.1,44.44,44.25,0.19,3.0,0.25,0.19,110.75,0.53,0.56,0.58,0.35,0.77,0.18,1.05,8.87,0.0,0.13,0.04,0.68,0.06,0.02,11.5,0.21
119,余純安,高雄全家海神,8,252,290.0,3727.0,62.12,62:07,465.88,7.76,07:46,20.0,2.5,6.9,11.59,20.0,2.5,6.9,11.59,8.0,1.0,2.76,4.64,7.0,0.88,2.41,4.06,4.0,0.5,1.38,2.32,13.0,1.62,4.48,7.53,4.0,0.5,1.38,2.32,3.0,0.38,1.03,1.74,0.0,0.0,0.0,0.0,1.0,0.12,0.34,0.58,2.0,0.25,0.69,1.16,2.0,0.25,0.69,1.16,3.0,0.38,1.03,1.74,1.0,0.12,0.34,0.58,2.0,0.25,0.69,1.16,13.0,1.62,4.48,7.53,48.0,6.0,16.55,27.82,47.59,41.03,6.55,19.0,2.38,6.55,112.05,0.5,0.47,0.57,0.31,0.0,0.09,0.25,8.04,0.02,0.11,0.04,1.03,0.34,0.04,16.55,0.15
122,陳懷安,高雄全家海神,12,911,1075.0,14036.0,233.93,233:56,1169.67,19.49,19:30,77.0,6.42,7.16,11.85,58.0,4.83,5.4,8.93,25.0,2.08,2.33,3.85,25.0,2.08,2.33,3.85,13.0,1.08,1.21,2.0,33.0,2.75,3.07,5.08,12.0,1.0,1.12,1.85,27.0,2.25,2.51,4.16,15.0,1.25,1.4,2.31,7.0,0.58,0.65,1.08,32.0,2.67,2.98,4.92,44.0,3.67,4.09,6.77,16.0,1.33,1.49,2.46,0.0,0.0,0.0,0.0,21.0,1.75,1.95,3.23,20.0,1.67,1.86,3.08,133.0,11.08,12.37,20.47,43.53,45.77,-2.23,-24.0,-2.0,-2.23,110.29,0.53,0.55,0.52,0.36,0.56,0.23,1.76,8.45,0.04,0.31,0.15,1.49,0.0,0.02,12.37,0.47
103,忻沃克,福爾摩沙夢想家,5,266,317.0,4192.0,69.87,69:52,838.4,13.97,13:58,33.0,6.6,10.41,17.0,24.0,4.8,7.57,12.37,13.0,2.6,4.1,6.7,10.0,2.0,3.15,5.15,7.0,1.4,2.21,3.61,14.0,2.8,4.42,7.21,6.0,1.2,1.89,3.09,1.0,0.2,0.32,0.52,1.0,0.2,0.32,0.52,2.0,0.4,0.63,1.03,11.0,2.2,3.47,5.67,2.0,0.4,0.63,1.03,1.0,0.2,0.32,0.52,1.0,0.2,0.32,0.52,7.0,1.4,2.21,3.61,7.0,1.4,2.21,3.61,53.0,10.6,16.72,27.31,46.69,45.74,0.95,3.0,0.6,0.95,108.89,0.67,0.68,0.7,0.43,1.0,0.22,0.15,9.92,0.04,0.44,0.19,0.32,0.32,0.02,16.72,0.04
101,周柏臣,福爾摩沙夢想家,4,89,108.0,1441.0,24.02,24:01,360.25,6.0,06:00,0.0,0.0,0.0,0.0,1.0,0.25,0.93,1.5,0.0,0.0,0.0,0.0,1.0,0.25,0.93,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.78,4.5,2.0,0.5,1.85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.93,1.5,1.0,0.25,0.93,1.5,2.0,0.5,1.85,3.0,18.0,4.5,16.67,26.98,46.3,38.89,7.41,8.0,2.0,7.41,107.93,0.0,0.0,0.0,,,0.5,,1.85,0.25,1.0,0.36,0.0,0.93,0.02,16.67,0.0
116,呂威霆,高雄全家海神,7,91,110.0,1301.0,21.68,21:41,185.86,3.1,03:06,5.0,0.71,4.55,8.3,8.0,1.14,7.27,13.28,2.0,0.29,1.82,3.32,2.0,0.29,1.82,3.32,1.0,0.14,0.91,1.66,6.0,0.86,5.45,9.96,1.0,0.14,0.91,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.57,3.64,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.91,1.66,1.0,0.14,0.91,1.66,4.0,0.57,3.64,6.64,19.0,2.71,17.27,31.54,40.0,48.18,-8.18,-9.0,-1.29,-8.18,121.75,0.31,0.31,0.5,0.17,,0.11,0.0,8.18,0.0,0.33,0.16,0.0,0.91,0.04,17.27,0.0
73,陳振傑,福爾摩沙夢想家,4,143,177.0,2358.0,39.3,39:18,589.5,9.82,09:50,31.0,7.75,17.51,28.4,21.0,5.25,11.86,19.24,11.0,2.75,6.21,10.08,6.0,1.5,3.39,5.5,4.0,1.0,2.26,3.66,15.0,3.75,8.47,13.74,7.0,1.75,3.95,6.41,2.0,0.5,1.13,1.83,2.0,0.5,1.13,1.83,1.0,0.25,0.56,0.92,1.0,0.25,0.56,0.92,1.0,0.25,0.56,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,2.82,4.58,31.0,7.75,17.51,28.4,47.46,43.5,3.95,7.0,1.75,3.95,108.09,0.69,0.71,0.67,0.47,1.0,0.0,0.09,12.36,0.05,0.17,0.07,0.0,0.0,0.03,17.51,0.1
117,摩爾斯,高雄全家海神,7,736,892.0,11606.0,193.43,193:26,1658.0,27.63,27:38,80.0,11.43,8.97,14.89,63.0,9.0,7.06,11.72,30.0,4.29,3.36,5.58,61.0,8.71,6.84,11.35,29.0,4.14,3.25,5.4,2.0,0.29,0.22,0.37,1.0,0.14,0.11,0.19,30.0,4.29,3.36,5.58,19.0,2.71,2.13,3.54,16.0,2.29,1.79,2.98,26.0,3.71,2.91,4.84,8.0,1.14,0.9,1.49,4.0,0.57,0.45,0.74,3.0,0.43,0.34,0.56,9.0,1.29,1.01,1.67,23.0,3.29,2.58,4.28,99.0,14.14,11.1,18.42,45.29,45.63,-0.34,-3.0,-0.43,-0.34,110.67,0.48,0.52,0.48,0.5,0.63,0.11,0.27,9.55,0.11,0.31,0.18,0.45,0.34,0.03,11.1,0.48
