lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
3,新北國王,25|28|30,林金榜/呂政儒/林書豪,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,25|28|33,林金榜/呂政儒/曼尼高,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,25|28|34,林金榜/呂政儒/沃許本,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,25|30|33,林金榜/林書豪/曼尼高,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,25|30|34,林金榜/林書豪/沃許本,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,25|33|34,林金榜/曼尼高/沃許本,1,3,3.0,37.52,0.63,00:38,37.52,0.63,00:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,57.57,1.0,1.0,33.33,57.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.15,0.0,0.0,0.0,0.63,0.63,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,臺北台新戰神,1|3|12,丁聖儒/陳文宏/曹薰襄,1,6,9.0,261.0,4.35,04:21,261.0,4.35,04:21,4.0,4.0,44.44,33.1,0.0,0.0,0.0,0.0,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.22,16.55,3.0,3.0,33.33,24.83,1.0,1.0,11.11,8.28,0.0,0.0,0.0,0.0,1.0,1.0,11.11,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,44.44,49.66,4.0,4.0,44.44,4.35,4.35,1.0,1.0,1.0,,,0.33,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
3,臺北台新戰神,1|12|14,丁聖儒/曹薰襄/錢肯尼,1,6,9.0,261.0,4.35,04:21,261.0,4.35,04:21,4.0,4.0,44.44,33.1,0.0,0.0,0.0,0.0,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,2.0,2.0,22.22,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.22,16.55,3.0,3.0,33.33,24.83,1.0,1.0,11.11,8.28,0.0,0.0,0.0,0.0,1.0,1.0,11.11,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,44.44,49.66,4.0,4.0,44.44,4.35,4.35,1.0,1.0,1.0,,,0.33,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0
3,臺北台新戰神,1|12|16,丁聖儒/曹薰襄/米勒,1,10,15.0,219.08,3.65,03:39,219.08,3.65,03:39,4.0,4.0,26.67,39.44,3.0,3.0,20.0,29.58,2.0,2.0,13.33,19.72,2.0,2.0,13.33,19.72,2.0,2.0,13.33,19.72,2.0,2.0,13.33,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.33,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.67,9.86,3.0,3.0,20.0,29.58,4.0,4.0,26.67,39.44,2.0,2.0,13.33,19.72,0.0,0.0,0.0,0.0,1.0,1.0,6.67,9.86,0.0,0.0,0.0,0.0,2.0,2.0,13.33,19.72,0.0,0.0,0.0,0.0,26.67,20.0,6.67,98.59,1.0,1.0,6.67,3.65,3.65,1.0,0.69,1.0,,0.0,0.41,0.0,0.0,0.25,0.12,6.67,0.0,0.13,0.0,1.0
3,臺北台新戰神,2|10|8457,江均/雷蒙恩/莫爾曼,1,4,4.0,54.0,0.9,00:54,54.0,0.9,00:54,4.0,4.0,100.0,160.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,106.67,4.0,4.0,100.0,0.9,0.9,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3,臺北台新戰神,2|12|8457,江均/曹薰襄/莫爾曼,1,6,6.0,82.04,1.37,01:22,82.04,1.37,01:22,4.0,4.0,66.67,105.32,2.0,2.0,33.33,52.66,3.0,3.0,50.0,78.99,2.0,2.0,33.33,52.66,2.0,2.0,33.33,52.66,2.0,2.0,33.33,52.66,1.0,1.0,16.67,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.67,26.33,0.0,0.0,0.0,0.0,1.0,1.0,16.67,26.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.33,52.66,66.67,33.33,33.33,105.32,2.0,2.0,33.33,1.37,1.37,0.67,0.67,1.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,33.33,0.0
3,臺北台新戰神,2|3001|8457,江均/艾力克/莫爾曼,1,4,4.0,54.0,0.9,00:54,54.0,0.9,00:54,4.0,4.0,100.0,160.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,2.0,2.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,106.67,4.0,4.0,100.0,0.9,0.9,1.0,1.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
3,新北國王,21|24|26,李愷諺/蘇士軒/洪志善,1,15,17.0,241.92,4.03,04:02,241.92,4.03,04:02,10.0,10.0,58.82,89.28,10.0,10.0,58.82,89.28,7.0,7.0,41.18,62.5,4.0,4.0,23.53,35.71,2.0,2.0,11.76,17.86,1.0,1.0,5.88,8.93,5.0,5.0,29.41,44.64,3.0,3.0,17.65,26.79,2.0,2.0,11.76,17.86,2.0,2.0,11.76,17.86,1.0,1.0,5.88,8.93,2.0,2.0,11.76,17.86,0.0,0.0,0.0,0.0,3.0,3.0,17.65,26.79,1.0,1.0,5.88,8.93,3.0,3.0,17.65,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.88,8.93,3.0,3.0,17.65,26.79,58.82,58.82,0.0,101.19,0.0,0.0,0.0,4.03,4.03,0.79,0.63,0.5,0.6,1.0,0.11,0.75,0.25,1.0,0.5,0.0,0.0,0.06,17.65,0.29
3,新北國王,24|26|867,蘇士軒/洪志善/桑尼,1,15,17.0,247.92,4.13,04:08,247.92,4.13,04:08,10.0,10.0,58.82,87.12,10.0,10.0,58.82,87.12,7.0,7.0,41.18,60.99,4.0,4.0,23.53,34.85,2.0,2.0,11.76,17.42,1.0,1.0,5.88,8.71,5.0,5.0,29.41,43.56,3.0,3.0,17.65,26.14,2.0,2.0,11.76,17.42,2.0,2.0,11.76,17.42,1.0,1.0,5.88,8.71,2.0,2.0,11.76,17.42,0.0,0.0,0.0,0.0,3.0,3.0,17.65,26.14,1.0,1.0,5.88,8.71,3.0,3.0,17.65,26.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.76,17.42,3.0,3.0,17.65,26.14,58.82,58.82,0.0,98.74,0.0,0.0,0.0,4.13,4.13,0.79,0.63,0.5,0.6,1.0,0.11,0.75,0.25,1.0,0.5,0.0,0.0,0.12,17.65,0.29
