player_id,player_name,team_name,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PM_total,PM_per_game,PM_per100,PACE,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,USG_pct,ORB_pct,DRB_pct,TRB_pct,STL_per100poss,BLK_per100poss,Foul_per_poss,FT_allowed_rate_per100,FT_rate,rapm_per100,orapm_per100,drapm_per100,on_court_poss,games_played,poss_per_game
1,丁聖儒,臺北台新戰神,37,3951,4813.0,60883.0,1014.72,1014:43,1645.49,27.42,27:25,304.0,8.22,6.32,10.79,280.0,7.57,5.82,9.93,99.0,2.68,2.06,3.51,158.0,4.27,3.28,5.61,63.0,1.7,1.31,2.24,122.0,3.3,2.53,4.33,36.0,0.97,0.75,1.28,104.0,2.81,2.16,3.69,70.0,1.89,1.45,2.48,31.0,0.84,0.64,1.1,94.0,2.54,1.95,3.33,176.0,4.76,3.66,6.24,38.0,1.03,0.79,1.35,1.0,0.03,0.02,0.04,90.0,2.43,1.87,3.19,85.0,2.3,1.77,3.02,522.0,14.11,10.85,18.52,39.31,40.06,-0.75,-36.0,-0.97,-0.75,113.84,0.42,0.47,0.4,0.3,0.67,0.22,0.29,8.64,0.04,0.21,0.11,0.79,0.02,0.02,10.85,0.37,0.31,-0.91,-1.07,4813.0,37,130.1
5,黃聰翰,臺北台新戰神,24,1994,2378.0,29960.0,499.33,499:20,1248.33,20.81,20:48,130.0,5.42,5.47,9.37,156.0,6.5,6.56,11.25,43.0,1.79,1.81,3.1,33.0,1.38,1.39,2.38,10.0,0.42,0.42,0.72,123.0,5.12,5.17,8.87,33.0,1.38,1.39,2.38,16.0,0.67,0.67,1.15,11.0,0.46,0.46,0.79,14.0,0.58,0.59,1.01,38.0,1.58,1.6,2.74,18.0,0.75,0.76,1.3,18.0,0.75,0.76,1.3,2.0,0.08,0.08,0.14,18.0,0.75,0.76,1.3,36.0,1.5,1.51,2.6,260.0,10.83,10.93,18.74,38.98,41.63,-2.65,-63.0,-2.62,-2.65,114.3,0.38,0.4,0.3,0.27,0.69,0.1,0.06,7.61,0.03,0.21,0.09,0.76,0.08,0.02,10.93,0.1,-0.95,-0.75,0.39,2378.0,24,99.1
14,錢肯尼,臺北台新戰神,25,2333,2818.0,34906.0,581.77,581:46,1396.24,23.27,23:16,236.0,9.44,8.37,14.6,204.0,8.16,7.24,12.62,85.0,3.4,3.02,5.26,132.0,5.28,4.68,8.17,67.0,2.68,2.38,4.15,72.0,2.88,2.56,4.46,18.0,0.72,0.64,1.11,68.0,2.72,2.41,4.21,48.0,1.92,1.7,2.97,24.0,0.96,0.85,1.49,47.0,1.88,1.67,2.91,27.0,1.08,0.96,1.67,20.0,0.8,0.71,1.24,3.0,0.12,0.11,0.19,41.0,1.64,1.45,2.54,58.0,2.32,2.06,3.59,313.0,12.52,11.11,19.37,40.24,41.7,-1.45,-41.0,-1.64,-1.45,116.25,0.46,0.5,0.51,0.25,0.71,0.15,0.09,9.76,0.05,0.21,0.11,0.71,0.11,0.02,11.11,0.33,-0.3,0.1,0.43,2818.0,25,112.7
15,牧倫斯,臺北台新戰神,3,265,315.0,3945.0,65.75,65:45,1315.0,21.92,21:55,33.0,11.0,10.48,18.07,30.0,10.0,9.52,16.43,13.0,4.33,4.13,7.12,15.0,5.0,4.76,8.21,8.0,2.67,2.54,4.38,15.0,5.0,4.76,8.21,5.0,1.67,1.59,2.74,5.0,1.67,1.59,2.74,2.0,0.67,0.63,1.1,4.0,1.33,1.27,2.19,11.0,3.67,3.49,6.02,3.0,1.0,0.95,1.64,3.0,1.0,0.95,1.64,1.0,0.33,0.32,0.55,4.0,1.33,1.27,2.19,5.0,1.67,1.59,2.74,25.0,8.33,7.94,13.69,41.27,48.25,-6.98,-22.0,-7.33,-6.98,114.98,0.52,0.51,0.53,0.33,0.4,0.11,0.09,11.49,0.07,0.3,0.16,0.95,0.32,0.02,7.94,0.17,-0.68,0.17,0.98,315.0,3,105.0
16,米勒,臺北台新戰神,29,3548,4335.0,54866.0,914.43,914:26,1891.93,31.53,31:32,479.0,16.52,11.05,18.86,352.0,12.14,8.12,13.86,159.0,5.48,3.67,6.26,223.0,7.69,5.14,8.78,125.0,4.31,2.88,4.92,129.0,4.45,2.98,5.08,34.0,1.17,0.78,1.34,161.0,5.55,3.71,6.34,127.0,4.38,2.93,5.0,87.0,3.0,2.01,3.43,186.0,6.41,4.29,7.32,52.0,1.79,1.2,2.05,39.0,1.34,0.9,1.54,46.0,1.59,1.06,1.81,60.0,2.07,1.38,2.36,88.0,3.03,2.03,3.46,467.0,16.1,10.77,18.39,40.05,39.56,0.48,21.0,0.72,0.48,113.78,0.5,0.57,0.56,0.26,0.79,0.12,0.11,11.14,0.12,0.37,0.22,0.9,1.06,0.02,10.77,0.46,2.06,0.26,-1.66,4335.0,29,149.5
56,丁冠皓,桃園台啤永豐雲豹,35,2376,2846.0,36824.0,613.73,613:44,1052.11,17.54,17:32,86.0,2.46,3.02,5.04,109.0,3.11,3.83,6.39,28.0,0.8,0.98,1.64,30.0,0.86,1.05,1.76,12.0,0.34,0.42,0.7,79.0,2.26,2.78,4.63,16.0,0.46,0.56,0.94,28.0,0.8,0.98,1.64,14.0,0.4,0.49,0.82,10.0,0.29,0.35,0.59,58.0,1.66,2.04,3.4,25.0,0.71,0.88,1.47,36.0,1.03,1.26,2.11,5.0,0.14,0.18,0.29,23.0,0.66,0.81,1.35,70.0,2.0,2.46,4.11,310.0,8.86,10.89,18.18,39.25,41.6,-2.35,-67.0,-1.91,-2.35,111.29,0.33,0.35,0.4,0.2,0.5,0.16,0.07,5.07,0.02,0.22,0.09,1.26,0.18,0.02,10.89,0.26,-1.12,-1.37,-0.12,2846.0,35,81.3
58,林信寬,桃園台啤永豐雲豹,35,4821,5765.0,74347.0,1239.12,1239:07,2124.2,35.4,35:24,448.0,12.8,7.77,13.02,472.0,13.49,8.19,13.71,164.0,4.69,2.84,4.76,219.0,6.26,3.8,6.36,91.0,2.6,1.58,2.64,253.0,7.23,4.39,7.35,73.0,2.09,1.27,2.12,79.0,2.26,1.37,2.3,47.0,1.34,0.82,1.37,27.0,0.77,0.47,0.78,118.0,3.37,2.05,3.43,78.0,2.23,1.35,2.27,53.0,1.51,0.92,1.54,9.0,0.26,0.16,0.26,81.0,2.31,1.41,2.35,109.0,3.11,1.89,3.17,501.0,14.31,8.69,14.56,42.52,41.86,0.66,38.0,1.09,0.66,111.66,0.42,0.44,0.42,0.29,0.59,0.14,0.11,10.2,0.03,0.24,0.1,0.92,0.16,0.02,8.69,0.17,1.47,0.94,-0.34,5765.0,35,164.7
60,黃鎮,桃園台啤永豐雲豹,38,2697,3208.0,41903.0,698.38,698:23,1102.71,18.38,18:23,167.0,4.39,5.21,8.61,180.0,4.74,5.61,9.28,57.0,1.5,1.78,2.94,35.0,0.92,1.09,1.8,14.0,0.37,0.44,0.72,145.0,3.82,4.52,7.47,43.0,1.13,1.34,2.22,12.0,0.32,0.37,0.62,10.0,0.26,0.31,0.52,21.0,0.55,0.65,1.08,46.0,1.21,1.43,2.37,46.0,1.21,1.43,2.37,35.0,0.92,1.09,1.8,5.0,0.13,0.16,0.26,39.0,1.03,1.22,2.01,45.0,1.18,1.4,2.32,355.0,9.34,11.07,18.3,41.86,42.39,-0.53,-17.0,-0.45,-0.53,110.24,0.44,0.45,0.4,0.3,0.83,0.17,0.11,6.99,0.04,0.18,0.08,1.09,0.16,0.01,11.07,0.07,-0.43,0.15,0.64,3208.0,38,84.4
67,桑德斯,桃園台啤永豐雲豹,3,207,239.0,3300.0,55.0,55:00,1100.0,18.33,18:20,18.0,6.0,7.53,11.78,17.0,5.67,7.11,11.13,9.0,3.0,3.77,5.89,17.0,5.67,7.11,11.13,9.0,3.0,3.77,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.51,3.93,14.0,4.67,5.86,9.16,2.0,0.67,0.84,1.31,2.0,0.67,0.84,1.31,1.0,0.33,0.42,0.65,2.0,0.67,0.84,1.31,17.0,5.67,7.11,11.13,31.0,10.33,12.97,20.29,46.03,41.42,4.6,11.0,3.67,4.6,104.29,0.53,0.53,0.53,,,0.11,0.06,7.95,0.14,0.35,0.24,0.84,0.42,0.07,12.97,0.0,0.66,0.56,0.07,239.0,3,79.7
68,克羅馬,桃園台啤永豐雲豹,33,5014,6006.0,77275.0,1287.92,1287:55,2341.67,39.03,39:02,784.0,23.76,13.05,21.91,617.0,18.7,10.27,17.25,282.0,8.55,4.7,7.88,478.0,14.48,7.96,13.36,239.0,7.24,3.98,6.68,139.0,4.21,2.31,3.89,43.0,1.3,0.72,1.2,254.0,7.7,4.23,7.1,177.0,5.36,2.95,4.95,56.0,1.7,0.93,1.57,194.0,5.88,3.23,5.42,197.0,5.97,3.28,5.51,89.0,2.7,1.48,2.49,18.0,0.55,0.3,0.5,152.0,4.61,2.53,4.25,106.0,3.21,1.76,2.96,569.0,17.24,9.47,15.9,41.66,41.87,-0.22,-13.0,-0.39,-0.22,111.92,0.49,0.54,0.5,0.31,0.7,0.17,0.32,14.66,0.06,0.32,0.15,1.48,0.3,0.02,9.47,0.41,0.67,0.34,-0.09,6006.0,33,182.0
