lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
2,新北國王,29|10874,林書緯/熊祥泰,1,63,74.0,1003.29,16.72,16:43,1003.29,16.72,16:43,30.0,30.0,40.54,64.59,32.0,32.0,43.24,68.89,27.0,27.0,36.49,58.13,10.0,10.0,13.51,21.53,9.0,9.0,12.16,19.38,4.0,4.0,5.41,8.61,18.0,18.0,24.32,38.75,6.0,6.0,8.11,12.92,6.0,6.0,8.11,12.92,4.0,4.0,5.41,8.61,5.0,5.0,6.76,10.76,12.0,12.0,16.22,25.83,4.0,4.0,5.41,8.61,15.0,15.0,20.27,32.29,7.0,7.0,9.46,15.07,9.0,9.0,12.16,19.38,3.0,3.0,4.05,6.46,0.0,0.0,0.0,0.0,6.0,6.0,8.11,12.92,9.0,9.0,12.16,19.38,40.54,43.24,-2.7,106.21,-2.0,-2.0,-2.7,16.72,16.72,0.48,0.51,0.44,0.33,0.67,0.19,0.9,0.25,0.75,0.47,4.05,0.0,0.08,12.16,0.22
2,新北國王,32|10874,奧帝/熊祥泰,1,67,77.0,1073.43,17.89,17:53,1073.43,17.89,17:53,42.0,42.0,54.55,84.51,30.0,30.0,38.96,60.37,29.0,29.0,37.66,58.36,14.0,14.0,18.18,28.17,12.0,12.0,15.58,24.15,6.0,6.0,7.79,12.07,17.0,17.0,22.08,34.21,8.0,8.0,10.39,16.1,11.0,11.0,14.29,22.13,6.0,6.0,7.79,12.07,5.0,5.0,6.49,10.06,11.0,11.0,14.29,22.13,3.0,3.0,3.9,6.04,15.0,15.0,19.48,30.18,6.0,6.0,7.79,12.07,14.0,14.0,18.18,28.17,3.0,3.0,3.9,6.04,0.0,0.0,0.0,0.0,10.0,10.0,12.99,20.12,8.0,8.0,10.39,16.1,54.55,38.96,15.58,103.3,12.0,12.0,15.58,17.89,17.89,0.62,0.62,0.5,0.47,0.55,0.15,1.0,0.25,0.79,0.47,3.9,0.0,0.13,10.39,0.38
2,新北國王,10874|13029,熊祥泰/杰倫,1,28,32.0,514.78,8.58,08:35,514.78,8.58,08:35,5.0,5.0,15.62,20.98,12.0,12.0,37.5,50.35,13.0,13.0,40.62,54.55,3.0,3.0,9.38,12.59,6.0,6.0,18.75,25.18,3.0,3.0,9.38,12.59,7.0,7.0,21.88,29.37,0.0,0.0,0.0,0.0,3.0,3.0,9.38,12.59,1.0,1.0,3.12,4.2,2.0,2.0,6.25,8.39,9.0,9.0,28.12,37.76,1.0,1.0,3.12,4.2,5.0,5.0,15.62,20.98,3.0,3.0,9.38,12.59,2.0,2.0,6.25,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.75,25.18,5.0,5.0,15.62,20.98,15.62,37.5,-21.88,89.51,-7.0,-7.0,-21.88,8.58,8.58,0.23,0.17,0.5,0.0,0.33,0.17,0.67,0.29,0.9,0.65,0.0,0.0,0.19,15.62,0.23
2,新北國王,21|23,李愷諺/王柏智,1,17,21.0,254.0,4.23,04:14,254.0,4.23,04:14,7.0,7.0,33.33,59.53,7.0,7.0,33.33,59.53,9.0,9.0,42.86,76.54,3.0,3.0,14.29,25.51,5.0,5.0,23.81,42.52,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,2.0,2.0,9.52,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,19.05,34.02,2.0,2.0,9.52,17.01,33.33,33.33,0.0,119.06,0.0,0.0,0.0,4.23,4.23,0.39,0.39,0.4,0.25,,0.1,0.67,0.33,0.8,0.55,0.0,0.0,0.19,9.52,0.0
2,新北國王,21|14038,李愷諺/飛米,1,54,61.0,790.36,13.17,13:10,790.36,13.17,13:10,28.0,28.0,45.9,76.52,28.0,28.0,45.9,76.52,22.0,22.0,36.07,60.12,9.0,9.0,14.75,24.6,10.0,10.0,16.39,27.33,5.0,5.0,8.2,13.66,12.0,12.0,19.67,32.8,4.0,4.0,6.56,10.93,7.0,7.0,11.48,19.13,6.0,6.0,9.84,16.4,3.0,3.0,4.92,8.2,10.0,10.0,16.39,27.33,3.0,3.0,4.92,8.2,8.0,8.0,13.11,21.86,3.0,3.0,4.92,8.2,8.0,8.0,13.11,21.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,13.11,21.86,6.0,6.0,9.84,16.4,45.9,45.9,0.0,111.14,0.0,0.0,0.0,13.17,13.17,0.5,0.56,0.5,0.33,0.86,0.11,0.89,0.27,0.77,0.54,0.0,0.0,0.13,9.84,0.32
2,新北國王,23|29,王柏智/林書緯,1,15,17.0,205.0,3.42,03:25,205.0,3.42,03:25,5.0,5.0,29.41,52.68,4.0,4.0,23.53,42.15,6.0,6.0,35.29,63.22,2.0,2.0,11.76,21.07,3.0,3.0,17.65,31.61,1.0,1.0,5.88,10.54,3.0,3.0,17.65,31.61,1.0,1.0,5.88,10.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,23.53,42.15,1.0,1.0,5.88,10.54,4.0,4.0,23.53,42.15,1.0,1.0,5.88,10.54,2.0,2.0,11.76,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.76,21.07,2.0,2.0,11.76,21.07,29.41,23.53,5.88,119.41,1.0,1.0,5.88,3.42,3.42,0.42,0.42,0.33,0.33,,0.14,1.0,0.0,0.8,0.44,0.0,0.0,0.12,11.76,0.0
2,新北國王,23|13029,王柏智/杰倫,1,17,21.0,254.0,4.23,04:14,254.0,4.23,04:14,7.0,7.0,33.33,59.53,7.0,7.0,33.33,59.53,9.0,9.0,42.86,76.54,3.0,3.0,14.29,25.51,5.0,5.0,23.81,42.52,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,2.0,2.0,9.52,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,19.05,34.02,2.0,2.0,9.52,17.01,33.33,33.33,0.0,119.06,0.0,0.0,0.0,4.23,4.23,0.39,0.39,0.4,0.25,,0.1,0.67,0.33,0.8,0.55,0.0,0.0,0.19,9.52,0.0
2,新北國王,23|14038,王柏智/飛米,1,17,21.0,254.0,4.23,04:14,254.0,4.23,04:14,7.0,7.0,33.33,59.53,7.0,7.0,33.33,59.53,9.0,9.0,42.86,76.54,3.0,3.0,14.29,25.51,5.0,5.0,23.81,42.52,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.52,17.01,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,4.0,4.0,19.05,34.02,1.0,1.0,4.76,8.5,2.0,2.0,9.52,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,19.05,34.02,2.0,2.0,9.52,17.01,33.33,33.33,0.0,119.06,0.0,0.0,0.0,4.23,4.23,0.39,0.39,0.4,0.25,,0.1,0.67,0.33,0.8,0.55,0.0,0.0,0.19,9.52,0.0
2,新北國王,29|14038,林書緯/飛米,1,100,114.0,1519.2,25.32,25:19,1519.2,25.32,25:19,51.0,51.0,44.74,72.51,48.0,48.0,42.11,68.25,37.0,37.0,32.46,52.61,14.0,14.0,12.28,19.91,12.0,12.0,10.53,17.06,5.0,5.0,4.39,7.11,25.0,25.0,21.93,35.54,9.0,9.0,7.89,12.8,14.0,14.0,12.28,19.91,12.0,12.0,10.53,17.06,4.0,4.0,3.51,5.69,19.0,19.0,16.67,27.01,7.0,7.0,6.14,9.95,22.0,22.0,19.3,31.28,9.0,9.0,7.89,12.8,13.0,13.0,11.4,18.48,5.0,5.0,4.39,7.11,0.0,0.0,0.0,0.0,8.0,8.0,7.02,11.37,12.0,12.0,10.53,17.06,44.74,42.11,2.63,108.06,3.0,3.0,2.63,25.32,25.32,0.5,0.59,0.42,0.36,0.86,0.17,0.93,0.15,0.73,0.44,4.39,0.0,0.07,10.53,0.38
2,新北國王,13029|14038,杰倫/飛米,1,53,61.0,846.61,14.11,14:07,846.61,14.11,14:07,18.0,18.0,29.51,45.92,27.0,27.0,44.26,68.89,22.0,22.0,36.07,56.13,6.0,6.0,9.84,15.31,9.0,9.0,14.75,22.96,4.0,4.0,6.56,10.21,13.0,13.0,21.31,33.17,2.0,2.0,3.28,5.1,4.0,4.0,6.56,10.21,4.0,4.0,6.56,10.21,3.0,3.0,4.92,7.65,13.0,13.0,21.31,33.17,3.0,3.0,4.92,7.65,10.0,10.0,16.39,25.51,4.0,4.0,6.56,10.21,4.0,4.0,6.56,10.21,2.0,2.0,3.28,5.1,0.0,0.0,0.0,0.0,5.0,5.0,8.2,12.76,6.0,6.0,9.84,15.31,29.51,44.26,-14.75,103.76,-9.0,-9.0,-14.75,14.11,14.11,0.32,0.38,0.44,0.15,1.0,0.14,0.67,0.23,0.81,0.55,3.28,0.0,0.08,9.84,0.18
2,新北中信特攻,40|43,謝亞軒/林韋翰,1,85,96.0,1295.0,21.58,21:35,1295.0,21.58,21:35,38.0,38.0,39.58,63.38,49.0,49.0,51.04,81.73,33.0,33.0,34.38,55.04,15.0,15.0,15.62,25.02,18.0,18.0,18.75,30.02,11.0,11.0,11.46,18.35,15.0,15.0,15.62,25.02,4.0,4.0,4.17,6.67,8.0,8.0,8.33,13.34,6.0,6.0,6.25,10.01,2.0,2.0,2.08,3.34,16.0,16.0,16.67,26.69,4.0,4.0,4.17,6.67,15.0,15.0,15.62,25.02,9.0,9.0,9.38,15.01,8.0,8.0,8.33,13.34,5.0,5.0,5.21,8.34,1.0,1.0,1.04,1.67,12.0,12.0,12.5,20.02,13.0,13.0,13.54,21.68,39.58,51.04,-11.46,106.75,-11.0,-11.0,-11.46,21.58,21.58,0.52,0.52,0.61,0.27,0.75,0.2,0.53,0.12,0.8,0.49,5.21,1.04,0.12,13.54,0.24
2,新北中信特攻,43|8889,林韋翰/馬可,1,36,42.0,560.84,9.35,09:21,560.84,9.35,09:21,15.0,15.0,35.71,57.77,23.0,23.0,54.76,88.58,12.0,12.0,28.57,46.22,6.0,6.0,14.29,23.11,7.0,7.0,16.67,26.96,5.0,5.0,11.9,19.26,5.0,5.0,11.9,19.26,1.0,1.0,2.38,3.85,4.0,4.0,9.52,15.41,4.0,4.0,9.52,15.41,1.0,1.0,2.38,3.85,4.0,4.0,9.52,15.41,3.0,3.0,7.14,11.55,7.0,7.0,16.67,26.96,5.0,5.0,11.9,19.26,3.0,3.0,7.14,11.55,1.0,1.0,2.38,3.85,0.0,0.0,0.0,0.0,8.0,8.0,19.05,30.81,8.0,8.0,19.05,30.81,35.71,54.76,-19.05,107.84,-8.0,-8.0,-19.05,9.35,9.35,0.54,0.55,0.71,0.2,1.0,0.27,0.5,0.12,0.57,0.33,2.38,0.0,0.19,19.05,0.33
2,新北中信特攻,43|10877,林韋翰/阿巴西,1,129,151.0,1986.99,33.12,33:07,1986.99,33.12,33:07,61.0,61.0,40.4,66.31,72.0,72.0,47.68,78.27,60.0,60.0,39.74,65.22,21.0,21.0,13.91,22.83,28.0,28.0,18.54,30.44,14.0,14.0,9.27,15.22,32.0,32.0,21.19,34.79,7.0,7.0,4.64,7.61,9.0,9.0,5.96,9.78,7.0,7.0,4.64,7.61,10.0,10.0,6.62,10.87,29.0,29.0,19.21,31.53,7.0,7.0,4.64,7.61,23.0,23.0,15.23,25.0,9.0,9.0,5.96,9.78,12.0,12.0,7.95,13.04,5.0,5.0,3.31,5.44,3.0,3.0,1.99,3.26,15.0,15.0,9.93,16.31,21.0,21.0,13.91,22.83,40.4,47.68,-7.28,109.43,-11.0,-11.0,-7.28,33.12,33.12,0.41,0.48,0.5,0.22,0.78,0.12,0.57,0.3,0.81,0.57,3.31,1.99,0.1,13.91,0.15
2,新北中信特攻,43|10881,林韋翰/飛克,1,105,122.0,1611.15,26.85,26:51,1611.15,26.85,26:51,50.0,50.0,40.98,67.03,56.0,56.0,45.9,75.08,50.0,50.0,40.98,67.03,17.0,17.0,13.93,22.79,23.0,23.0,18.85,30.84,11.0,11.0,9.02,14.75,27.0,27.0,22.13,36.2,6.0,6.0,4.92,8.04,9.0,9.0,7.38,12.07,6.0,6.0,4.92,8.04,9.0,9.0,7.38,12.07,27.0,27.0,22.13,36.2,4.0,4.0,3.28,5.36,20.0,20.0,16.39,26.81,7.0,7.0,5.74,9.38,10.0,10.0,8.2,13.41,5.0,5.0,4.1,6.7,3.0,3.0,2.46,4.02,10.0,10.0,8.2,13.41,16.0,16.0,13.11,21.45,40.98,45.9,-4.92,109.04,-6.0,-6.0,-4.92,26.85,26.85,0.4,0.46,0.48,0.22,0.67,0.11,0.59,0.31,0.87,0.6,4.1,2.46,0.08,13.11,0.18
2,新北中信特攻,43|10879,林韋翰/簡廷兆,1,58,70.0,915.04,15.25,15:15,915.04,15.25,15:15,24.0,24.0,34.29,56.65,30.0,30.0,42.86,70.82,32.0,32.0,45.71,75.54,7.0,7.0,10.0,16.52,14.0,14.0,20.0,33.05,4.0,4.0,5.71,9.44,18.0,18.0,25.71,42.49,3.0,3.0,4.29,7.08,4.0,4.0,5.71,9.44,3.0,3.0,4.29,7.08,8.0,8.0,11.43,18.88,17.0,17.0,24.29,40.13,4.0,4.0,5.71,9.44,12.0,12.0,17.14,28.33,2.0,2.0,2.86,4.72,4.0,4.0,5.71,9.44,0.0,0.0,0.0,0.0,2.0,2.0,2.86,4.72,4.0,4.0,5.71,9.44,15.0,15.0,21.43,35.41,34.29,42.86,-8.57,110.16,-6.0,-6.0,-8.57,15.25,15.25,0.27,0.36,0.29,0.17,0.75,0.06,0.57,0.4,0.81,0.61,0.0,2.86,0.06,21.43,0.12
