lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
3,新北中信特攻,40|43|10881,謝亞軒/林韋翰/飛克,1,67,75.0,1053.51,17.56,17:34,1053.51,17.56,17:34,31.0,31.0,41.33,63.56,35.0,35.0,46.67,71.76,26.0,26.0,34.67,53.31,12.0,12.0,16.0,24.6,14.0,14.0,18.67,28.7,9.0,9.0,12.0,18.45,12.0,12.0,16.0,24.6,3.0,3.0,4.0,6.15,6.0,6.0,8.0,12.3,4.0,4.0,5.33,8.2,2.0,2.0,2.67,4.1,14.0,14.0,18.67,28.7,2.0,2.0,2.67,4.1,13.0,13.0,17.33,26.65,7.0,7.0,9.33,14.35,7.0,7.0,9.33,14.35,5.0,5.0,6.67,10.25,1.0,1.0,1.33,2.05,8.0,8.0,10.67,16.4,8.0,8.0,10.67,16.4,41.33,46.67,-5.33,102.51,-4.0,-4.0,-5.33,17.56,17.56,0.52,0.54,0.64,0.25,0.67,0.2,0.58,0.13,0.88,0.52,6.67,1.33,0.11,10.67,0.23
3,新北中信特攻,43|8889|10877,林韋翰/馬可/阿巴西,1,31,37.0,448.86,7.48,07:29,448.86,7.48,07:29,15.0,15.0,40.54,72.18,20.0,20.0,54.05,96.24,11.0,11.0,29.73,52.93,5.0,5.0,13.51,24.06,6.0,6.0,16.22,28.87,4.0,4.0,10.81,19.25,5.0,5.0,13.51,24.06,1.0,1.0,2.7,4.81,4.0,4.0,10.81,19.25,4.0,4.0,10.81,19.25,1.0,1.0,2.7,4.81,4.0,4.0,10.81,19.25,3.0,3.0,8.11,14.44,5.0,5.0,13.51,24.06,3.0,3.0,8.11,14.44,3.0,3.0,8.11,14.44,1.0,1.0,2.7,4.81,0.0,0.0,0.0,0.0,7.0,7.0,18.92,33.69,5.0,5.0,13.51,24.06,40.54,54.05,-13.51,118.7,-5.0,-5.0,-13.51,7.48,7.48,0.5,0.59,0.67,0.2,1.0,0.19,0.6,0.17,0.57,0.38,2.7,0.0,0.19,13.51,0.36
3,新北中信特攻,43|8889|10881,林韋翰/馬可/飛克,1,16,19.0,240.0,4.0,04:00,240.0,4.0,04:00,8.0,8.0,42.11,72.0,8.0,8.0,42.11,72.0,7.0,7.0,36.84,63.0,3.0,3.0,15.79,27.0,4.0,4.0,21.05,36.0,3.0,3.0,15.79,27.0,3.0,3.0,15.79,27.0,0.0,0.0,0.0,0.0,2.0,2.0,10.53,18.0,2.0,2.0,10.53,18.0,1.0,1.0,5.26,9.0,3.0,3.0,15.79,27.0,1.0,1.0,5.26,9.0,3.0,3.0,15.79,27.0,1.0,1.0,5.26,9.0,2.0,2.0,10.53,18.0,1.0,1.0,5.26,9.0,0.0,0.0,0.0,0.0,2.0,2.0,10.53,18.0,2.0,2.0,10.53,18.0,42.11,42.11,0.0,114.0,0.0,0.0,0.0,4.0,4.0,0.43,0.51,0.75,0.0,1.0,0.11,0.67,0.25,0.75,0.5,5.26,0.0,0.11,10.53,0.29
3,新北中信特攻,43|10877|10881,林韋翰/阿巴西/飛克,1,103,120.0,1584.84,26.41,26:25,1584.84,26.41,26:25,50.0,50.0,41.67,68.15,56.0,56.0,46.67,76.32,49.0,49.0,40.83,66.78,17.0,17.0,14.17,23.17,22.0,22.0,18.33,29.98,11.0,11.0,9.17,14.99,27.0,27.0,22.5,36.8,6.0,6.0,5.0,8.18,7.0,7.0,5.83,9.54,5.0,5.0,4.17,6.81,9.0,9.0,7.5,12.27,25.0,25.0,20.83,34.07,4.0,4.0,3.33,5.45,19.0,19.0,15.83,25.9,7.0,7.0,5.83,9.54,10.0,10.0,8.33,13.63,5.0,5.0,4.17,6.81,3.0,3.0,2.5,4.09,10.0,10.0,8.33,13.63,16.0,16.0,13.33,21.81,41.67,46.67,-5.0,109.03,-6.0,-6.0,-5.0,26.41,26.41,0.41,0.48,0.5,0.22,0.71,0.12,0.59,0.32,0.86,0.6,4.17,2.5,0.08,13.33,0.14
3,新北中信特攻,43|10877|10879,林韋翰/阿巴西/簡廷兆,1,53,65.0,824.04,13.73,13:44,824.04,13.73,13:44,24.0,24.0,36.92,62.91,27.0,27.0,41.54,70.77,32.0,32.0,49.23,83.88,7.0,7.0,10.77,18.35,14.0,14.0,21.54,36.7,4.0,4.0,6.15,10.48,18.0,18.0,27.69,47.18,3.0,3.0,4.62,7.86,4.0,4.0,6.15,10.48,3.0,3.0,4.62,7.86,8.0,8.0,12.31,20.97,17.0,17.0,26.15,44.56,4.0,4.0,6.15,10.48,10.0,10.0,15.38,26.21,0.0,0.0,0.0,0.0,4.0,4.0,6.15,10.48,0.0,0.0,0.0,0.0,2.0,2.0,3.08,5.24,3.0,3.0,4.62,7.86,12.0,12.0,18.46,31.45,36.92,41.54,-4.62,113.59,-3.0,-3.0,-4.62,13.73,13.73,0.27,0.36,0.29,0.17,0.75,0.0,0.57,0.44,0.81,0.64,0.0,3.08,0.05,18.46,0.12
3,新北中信特攻,43|10877|10880,林韋翰/阿巴西/內馬,1,93,107.0,1460.74,24.35,24:21,1460.74,24.35,24:21,44.0,44.0,41.12,65.06,50.0,50.0,46.73,73.94,41.0,41.0,38.32,60.63,15.0,15.0,14.02,22.18,20.0,20.0,18.69,29.57,10.0,10.0,9.35,14.79,21.0,21.0,19.63,31.05,5.0,5.0,4.67,7.39,6.0,6.0,5.61,8.87,4.0,4.0,3.74,5.91,6.0,6.0,5.61,8.87,20.0,20.0,18.69,29.57,4.0,4.0,3.74,5.91,16.0,16.0,14.95,23.66,8.0,8.0,7.48,11.83,8.0,8.0,7.48,11.83,4.0,4.0,3.74,5.91,3.0,3.0,2.8,4.44,12.0,12.0,11.21,17.74,13.0,13.0,12.15,19.22,41.12,46.73,-5.61,105.48,-6.0,-6.0,-5.61,24.35,24.35,0.43,0.5,0.5,0.24,0.67,0.15,0.53,0.27,0.83,0.57,3.74,2.8,0.11,12.15,0.15
3,新北中信特攻,43|10879|10880,林韋翰/簡廷兆/內馬,1,44,51.0,710.49,11.84,11:50,710.49,11.84,11:50,17.0,17.0,33.33,51.68,20.0,20.0,39.22,60.8,23.0,23.0,45.1,69.92,5.0,5.0,9.8,15.2,11.0,11.0,21.57,33.44,4.0,4.0,7.84,12.16,12.0,12.0,23.53,36.48,1.0,1.0,1.96,3.04,3.0,3.0,5.88,9.12,2.0,2.0,3.92,6.08,5.0,5.0,9.8,15.2,13.0,13.0,25.49,39.52,2.0,2.0,3.92,6.08,9.0,9.0,17.65,27.36,2.0,2.0,3.92,6.08,2.0,2.0,3.92,6.08,0.0,0.0,0.0,0.0,2.0,2.0,3.92,6.08,4.0,4.0,7.84,12.16,11.0,11.0,21.57,33.44,33.33,39.22,-5.88,103.37,-3.0,-3.0,-5.88,11.84,11.84,0.24,0.35,0.36,0.08,0.67,0.08,0.4,0.36,0.87,0.62,0.0,3.92,0.08,21.57,0.13
3,新北中信特攻,43|10879|10881,林韋翰/簡廷兆/飛克,1,42,52.0,622.09,10.37,10:22,622.09,10.37,10:22,20.0,20.0,38.46,69.44,23.0,23.0,44.23,79.86,25.0,25.0,48.08,86.8,5.0,5.0,9.62,17.36,10.0,10.0,19.23,34.72,2.0,2.0,3.85,6.94,15.0,15.0,28.85,52.08,3.0,3.0,5.77,10.42,4.0,4.0,7.69,13.89,3.0,3.0,5.77,10.42,7.0,7.0,13.46,24.31,14.0,14.0,26.92,48.61,3.0,3.0,5.77,10.42,8.0,8.0,15.38,27.78,0.0,0.0,0.0,0.0,3.0,3.0,5.77,10.42,0.0,0.0,0.0,0.0,2.0,2.0,3.85,6.94,2.0,2.0,3.85,6.94,10.0,10.0,19.23,34.72,38.46,44.23,-5.77,120.37,-3.0,-3.0,-5.77,10.37,10.37,0.26,0.37,0.2,0.2,0.75,0.0,0.6,0.47,0.82,0.66,0.0,3.85,0.04,19.23,0.16
3,新北中信特攻,43|10880|10881,林韋翰/內馬/飛克,1,69,78.0,1084.89,18.08,18:05,1084.89,18.08,18:05,33.0,33.0,42.31,65.7,34.0,34.0,43.59,67.69,31.0,31.0,39.74,61.72,11.0,11.0,14.1,21.9,15.0,15.0,19.23,29.86,7.0,7.0,8.97,13.94,16.0,16.0,20.51,31.86,4.0,4.0,5.13,7.96,6.0,6.0,7.69,11.95,3.0,3.0,3.85,5.97,5.0,5.0,6.41,9.95,18.0,18.0,23.08,35.84,1.0,1.0,1.28,1.99,13.0,13.0,16.67,25.88,6.0,6.0,7.69,11.95,6.0,6.0,7.69,11.95,4.0,4.0,5.13,7.96,3.0,3.0,3.85,5.97,7.0,7.0,8.97,13.94,8.0,8.0,10.26,15.93,42.31,43.59,-1.28,103.53,-1.0,-1.0,-1.28,18.08,18.08,0.42,0.49,0.47,0.25,0.5,0.15,0.55,0.28,0.95,0.62,5.13,3.85,0.09,10.26,0.19
3,新北中信特攻,10877|10879|10880,阿巴西/簡廷兆/內馬,1,45,53.0,719.62,11.99,12:00,719.62,11.99,12:00,19.0,19.0,35.85,57.03,22.0,22.0,41.51,66.03,25.0,25.0,47.17,75.04,6.0,6.0,11.32,18.01,13.0,13.0,24.53,39.02,5.0,5.0,9.43,15.01,12.0,12.0,22.64,36.02,1.0,1.0,1.89,3.0,3.0,3.0,5.66,9.0,2.0,2.0,3.77,6.0,5.0,5.0,9.43,15.01,14.0,14.0,26.42,42.02,3.0,3.0,5.66,9.0,9.0,9.0,16.98,27.01,0.0,0.0,0.0,0.0,3.0,3.0,5.66,9.0,0.0,0.0,0.0,0.0,2.0,2.0,3.77,6.0,4.0,4.0,7.55,12.01,8.0,8.0,15.09,24.01,35.85,41.51,-5.66,106.06,-3.0,-3.0,-5.66,11.99,11.99,0.26,0.36,0.38,0.08,0.67,0.0,0.5,0.36,0.82,0.61,0.0,3.77,0.08,15.09,0.12
