lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,新北中信特攻,43|44|8889|10877,林韋翰/黃泓瀚/馬可/阿巴西,1,42,48.0,682.84,11.38,11:23,682.84,11.38,11:23,30.0,30.0,62.5,94.9,15.0,15.0,31.25,47.45,19.0,19.0,39.58,60.1,13.0,13.0,27.08,41.12,12.0,12.0,25.0,37.96,11.0,11.0,22.92,34.8,7.0,7.0,14.58,22.14,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,5.0,5.0,10.42,15.82,11.0,11.0,22.92,34.8,2.0,2.0,4.17,6.33,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,62.5,31.25,31.25,101.22,15.0,15.0,31.25,11.38,11.38,0.74,0.75,0.92,0.29,1.0,0.09,0.38,0.08,0.5,0.27,4.17,2.08,0.1,4.17,0.11
4,新北中信特攻,43|44|8889|10881,林韋翰/黃泓瀚/馬可/飛克,1,42,48.0,682.84,11.38,11:23,682.84,11.38,11:23,30.0,30.0,62.5,94.9,15.0,15.0,31.25,47.45,19.0,19.0,39.58,60.1,13.0,13.0,27.08,41.12,12.0,12.0,25.0,37.96,11.0,11.0,22.92,34.8,7.0,7.0,14.58,22.14,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,5.0,5.0,10.42,15.82,11.0,11.0,22.92,34.8,2.0,2.0,4.17,6.33,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,62.5,31.25,31.25,101.22,15.0,15.0,31.25,11.38,11.38,0.74,0.75,0.92,0.29,1.0,0.09,0.38,0.08,0.5,0.27,4.17,2.08,0.1,4.17,0.11
4,新北中信特攻,43|44|10877|10881,林韋翰/黃泓瀚/阿巴西/飛克,1,42,48.0,682.84,11.38,11:23,682.84,11.38,11:23,30.0,30.0,62.5,94.9,15.0,15.0,31.25,47.45,19.0,19.0,39.58,60.1,13.0,13.0,27.08,41.12,12.0,12.0,25.0,37.96,11.0,11.0,22.92,34.8,7.0,7.0,14.58,22.14,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,5.0,5.0,10.42,15.82,11.0,11.0,22.92,34.8,2.0,2.0,4.17,6.33,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,1.0,1.0,2.08,3.16,5.0,5.0,10.42,15.82,2.0,2.0,4.17,6.33,62.5,31.25,31.25,101.22,15.0,15.0,31.25,11.38,11.38,0.74,0.75,0.92,0.29,1.0,0.09,0.38,0.08,0.5,0.27,4.17,2.08,0.1,4.17,0.11
4,新北中信特攻,43|8889|10877|10881,林韋翰/馬可/阿巴西/飛克,1,69,79.0,1083.98,18.07,18:04,1083.98,18.07,18:04,40.0,40.0,50.63,79.71,26.0,26.0,32.91,51.81,30.0,30.0,37.97,59.78,16.0,16.0,20.25,31.88,15.0,15.0,18.99,29.89,12.0,12.0,15.19,23.91,15.0,15.0,18.99,29.89,4.0,4.0,5.06,7.97,4.0,4.0,5.06,7.97,4.0,4.0,5.06,7.97,3.0,3.0,3.8,5.98,11.0,11.0,13.92,21.92,6.0,6.0,7.59,11.96,16.0,16.0,20.25,31.88,6.0,6.0,7.59,11.96,7.0,7.0,8.86,13.95,2.0,2.0,2.53,3.99,1.0,1.0,1.27,1.99,7.0,7.0,8.86,13.95,6.0,6.0,7.59,11.96,50.63,32.91,17.72,104.95,14.0,14.0,17.72,18.07,18.07,0.6,0.63,0.8,0.27,1.0,0.16,0.44,0.16,0.65,0.39,2.53,1.27,0.09,7.59,0.13
4,新北中信特攻,44|8889|10877|10881,黃泓瀚/馬可/阿巴西/飛克,1,43,49.0,683.5,11.39,11:24,683.5,11.39,11:24,30.0,30.0,61.22,94.81,16.0,16.0,32.65,50.56,19.0,19.0,38.78,60.04,13.0,13.0,26.53,41.08,12.0,12.0,24.49,37.92,11.0,11.0,22.45,34.76,7.0,7.0,14.29,22.12,2.0,2.0,4.08,6.32,2.0,2.0,4.08,6.32,2.0,2.0,4.08,6.32,1.0,1.0,2.04,3.16,5.0,5.0,10.2,15.8,5.0,5.0,10.2,15.8,11.0,11.0,22.45,34.76,2.0,2.0,4.08,6.32,5.0,5.0,10.2,15.8,2.0,2.0,4.08,6.32,1.0,1.0,2.04,3.16,5.0,5.0,10.2,15.8,4.0,4.0,8.16,12.64,61.22,32.65,28.57,103.23,14.0,14.0,28.57,11.39,11.39,0.74,0.75,0.92,0.29,1.0,0.09,0.38,0.08,0.5,0.27,4.08,2.04,0.1,8.16,0.11
4,臺北台新戰神,1|5|14|13907,丁聖儒/黃聰翰/錢肯尼/梅克,1,70,80.0,1143.88,19.06,19:04,1143.88,19.06,19:04,34.0,34.0,42.5,64.2,33.0,33.0,41.25,62.31,34.0,34.0,42.5,64.2,13.0,13.0,16.25,24.55,15.0,15.0,18.75,28.32,8.0,8.0,10.0,15.11,19.0,19.0,23.75,35.88,5.0,5.0,6.25,9.44,4.0,4.0,5.0,7.55,3.0,3.0,3.75,5.66,6.0,6.0,7.5,11.33,15.0,15.0,18.75,28.32,3.0,3.0,3.75,5.66,15.0,15.0,18.75,28.32,5.0,5.0,6.25,9.44,6.0,6.0,7.5,11.33,3.0,3.0,3.75,5.66,1.0,1.0,1.25,1.89,4.0,4.0,5.0,7.55,3.0,3.0,3.75,5.66,42.5,41.25,1.25,100.71,1.0,1.0,1.25,19.06,19.06,0.46,0.48,0.53,0.26,0.75,0.12,0.46,0.29,0.83,0.54,3.75,1.25,0.05,3.75,0.12
4,臺北台新戰神,1|5|14|14845,丁聖儒/黃聰翰/錢肯尼/恩多,1,79,94.0,1363.11,22.72,22:43,1363.11,22.72,22:43,48.0,48.0,51.06,76.06,44.0,44.0,46.81,69.72,38.0,38.0,40.43,60.22,18.0,18.0,19.15,28.52,21.0,21.0,22.34,33.28,10.0,10.0,10.64,15.85,17.0,17.0,18.09,26.94,8.0,8.0,8.51,12.68,5.0,5.0,5.32,7.92,4.0,4.0,4.26,6.34,8.0,8.0,8.51,12.68,13.0,13.0,13.83,20.6,3.0,3.0,3.19,4.75,15.0,15.0,15.96,23.77,7.0,7.0,7.45,11.09,7.0,7.0,7.45,11.09,2.0,2.0,2.13,3.17,1.0,1.0,1.06,1.58,9.0,9.0,9.57,14.26,3.0,3.0,3.19,4.75,51.06,46.81,4.26,99.3,4.0,4.0,4.26,22.72,22.72,0.58,0.6,0.48,0.47,0.8,0.15,0.39,0.35,0.81,0.54,2.13,1.06,0.1,3.19,0.13
4,臺北台新戰神,1|5|13907|14845,丁聖儒/黃聰翰/梅克/恩多,1,42,49.0,740.21,12.34,12:20,740.21,12.34,12:20,22.0,22.0,44.9,64.2,23.0,23.0,46.94,67.12,21.0,21.0,42.86,61.28,8.0,8.0,16.33,23.34,10.0,10.0,20.41,29.18,4.0,4.0,8.16,11.67,11.0,11.0,22.45,32.1,4.0,4.0,8.16,11.67,2.0,2.0,4.08,5.84,2.0,2.0,4.08,5.84,5.0,5.0,10.2,14.59,8.0,8.0,16.33,23.34,2.0,2.0,4.08,5.84,7.0,7.0,14.29,20.43,3.0,3.0,6.12,8.75,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,1.0,1.0,2.04,2.92,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,44.9,46.94,-2.04,95.32,-1.0,-1.0,-2.04,12.34,12.34,0.48,0.5,0.4,0.36,1.0,0.12,0.38,0.42,0.8,0.59,2.04,2.04,0.06,2.04,0.1
4,臺北台新戰神,1|14|13907|14845,丁聖儒/錢肯尼/梅克/恩多,1,42,49.0,740.21,12.34,12:20,740.21,12.34,12:20,22.0,22.0,44.9,64.2,23.0,23.0,46.94,67.12,21.0,21.0,42.86,61.28,8.0,8.0,16.33,23.34,10.0,10.0,20.41,29.18,4.0,4.0,8.16,11.67,11.0,11.0,22.45,32.1,4.0,4.0,8.16,11.67,2.0,2.0,4.08,5.84,2.0,2.0,4.08,5.84,5.0,5.0,10.2,14.59,8.0,8.0,16.33,23.34,2.0,2.0,4.08,5.84,7.0,7.0,14.29,20.43,3.0,3.0,6.12,8.75,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,1.0,1.0,2.04,2.92,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,44.9,46.94,-2.04,95.32,-1.0,-1.0,-2.04,12.34,12.34,0.48,0.5,0.4,0.36,1.0,0.12,0.38,0.42,0.8,0.59,2.04,2.04,0.06,2.04,0.1
4,臺北台新戰神,5|14|13907|14845,黃聰翰/錢肯尼/梅克/恩多,1,42,49.0,740.21,12.34,12:20,740.21,12.34,12:20,22.0,22.0,44.9,64.2,23.0,23.0,46.94,67.12,21.0,21.0,42.86,61.28,8.0,8.0,16.33,23.34,10.0,10.0,20.41,29.18,4.0,4.0,8.16,11.67,11.0,11.0,22.45,32.1,4.0,4.0,8.16,11.67,2.0,2.0,4.08,5.84,2.0,2.0,4.08,5.84,5.0,5.0,10.2,14.59,8.0,8.0,16.33,23.34,2.0,2.0,4.08,5.84,7.0,7.0,14.29,20.43,3.0,3.0,6.12,8.75,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,1.0,1.0,2.04,2.92,3.0,3.0,6.12,8.75,1.0,1.0,2.04,2.92,44.9,46.94,-2.04,95.32,-1.0,-1.0,-2.04,12.34,12.34,0.48,0.5,0.4,0.36,1.0,0.12,0.38,0.42,0.8,0.59,2.04,2.04,0.06,2.04,0.1
