lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,新竹御嵿攻城獅,75|76|10885|10887,高國豪/曾柏喻/劉丞勳/德魯,1,78,95.0,1398.11,23.3,23:18,1398.11,23.3,23:18,59.0,59.0,62.11,91.15,35.0,35.0,36.84,54.07,41.0,41.0,43.16,63.34,24.0,24.0,25.26,37.08,32.0,32.0,33.68,49.44,18.0,18.0,18.95,27.81,9.0,9.0,9.47,13.9,6.0,6.0,6.32,9.27,9.0,9.0,9.47,13.9,7.0,7.0,7.37,10.81,8.0,8.0,8.42,12.36,10.0,10.0,10.53,15.45,8.0,8.0,8.42,12.36,16.0,16.0,16.84,24.72,4.0,4.0,4.21,6.18,15.0,15.0,15.79,23.17,3.0,3.0,3.16,4.63,0.0,0.0,0.0,0.0,11.0,11.0,11.58,16.99,2.0,2.0,2.11,3.09,62.11,36.84,25.26,97.85,24.0,24.0,25.26,23.3,23.3,0.66,0.66,0.56,0.67,0.78,0.08,0.62,0.33,0.56,0.43,3.16,0.0,0.12,2.11,0.22
4,新竹御嵿攻城獅,75|76|10885|14843,高國豪/曾柏喻/劉丞勳/馬力,1,74,91.0,1327.5,22.13,22:08,1327.5,22.13,22:08,57.0,57.0,62.64,92.75,38.0,38.0,41.76,61.83,39.0,39.0,42.86,63.46,24.0,24.0,26.37,39.05,31.0,31.0,34.07,50.44,18.0,18.0,19.78,29.29,8.0,8.0,8.79,13.02,6.0,6.0,6.59,9.76,5.0,5.0,5.49,8.14,3.0,3.0,3.3,4.88,8.0,8.0,8.79,13.02,8.0,8.0,8.79,13.02,8.0,8.0,8.79,13.02,15.0,15.0,16.48,24.41,4.0,4.0,4.4,6.51,14.0,14.0,15.38,22.78,3.0,3.0,3.3,4.88,0.0,0.0,0.0,0.0,10.0,10.0,10.99,16.27,2.0,2.0,2.2,3.25,62.64,41.76,20.88,98.71,19.0,19.0,20.88,22.13,22.13,0.69,0.69,0.58,0.75,0.6,0.09,0.58,0.35,0.5,0.41,3.3,0.0,0.11,2.2,0.13
4,新竹御嵿攻城獅,75|76|10887|14843,高國豪/曾柏喻/德魯/馬力,1,73,90.0,1305.98,21.77,21:46,1305.98,21.77,21:46,57.0,57.0,63.33,94.27,35.0,35.0,38.89,57.89,39.0,39.0,43.33,64.5,24.0,24.0,26.67,39.69,31.0,31.0,34.44,51.27,18.0,18.0,20.0,29.77,8.0,8.0,8.89,13.23,6.0,6.0,6.67,9.92,5.0,5.0,5.56,8.27,3.0,3.0,3.33,4.96,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,15.0,15.0,16.67,24.81,4.0,4.0,4.44,6.62,14.0,14.0,15.56,23.15,3.0,3.0,3.33,4.96,0.0,0.0,0.0,0.0,10.0,10.0,11.11,16.54,2.0,2.0,2.22,3.31,63.33,38.89,24.44,99.24,22.0,22.0,24.44,21.77,21.77,0.69,0.69,0.58,0.75,0.6,0.09,0.58,0.35,0.5,0.41,3.33,0.0,0.11,2.22,0.13
4,新竹御嵿攻城獅,75|10885|10887|14843,高國豪/劉丞勳/德魯/馬力,1,73,90.0,1305.98,21.77,21:46,1305.98,21.77,21:46,57.0,57.0,63.33,94.27,35.0,35.0,38.89,57.89,39.0,39.0,43.33,64.5,24.0,24.0,26.67,39.69,31.0,31.0,34.44,51.27,18.0,18.0,20.0,29.77,8.0,8.0,8.89,13.23,6.0,6.0,6.67,9.92,5.0,5.0,5.56,8.27,3.0,3.0,3.33,4.96,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,15.0,15.0,16.67,24.81,4.0,4.0,4.44,6.62,14.0,14.0,15.56,23.15,3.0,3.0,3.33,4.96,0.0,0.0,0.0,0.0,10.0,10.0,11.11,16.54,2.0,2.0,2.22,3.31,63.33,38.89,24.44,99.24,22.0,22.0,24.44,21.77,21.77,0.69,0.69,0.58,0.75,0.6,0.09,0.58,0.35,0.5,0.41,3.33,0.0,0.11,2.22,0.13
4,新竹御嵿攻城獅,76|10885|10887|14843,曾柏喻/劉丞勳/德魯/馬力,1,73,90.0,1305.98,21.77,21:46,1305.98,21.77,21:46,57.0,57.0,63.33,94.27,35.0,35.0,38.89,57.89,39.0,39.0,43.33,64.5,24.0,24.0,26.67,39.69,31.0,31.0,34.44,51.27,18.0,18.0,20.0,29.77,8.0,8.0,8.89,13.23,6.0,6.0,6.67,9.92,5.0,5.0,5.56,8.27,3.0,3.0,3.33,4.96,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,8.0,8.0,8.89,13.23,15.0,15.0,16.67,24.81,4.0,4.0,4.44,6.62,14.0,14.0,15.56,23.15,3.0,3.0,3.33,4.96,0.0,0.0,0.0,0.0,10.0,10.0,11.11,16.54,2.0,2.0,2.22,3.31,63.33,38.89,24.44,99.24,22.0,22.0,24.44,21.77,21.77,0.69,0.69,0.58,0.75,0.6,0.09,0.58,0.35,0.5,0.41,3.33,0.0,0.11,2.22,0.13
4,新北國王,21|22|29|34,李愷諺/簡祐哲/林書緯/沃許本,1,39,47.0,721.0,12.02,12:01,721.0,12.02,12:01,21.0,21.0,44.68,62.91,27.0,27.0,57.45,80.89,20.0,20.0,42.55,59.92,9.0,9.0,19.15,26.96,12.0,12.0,25.53,35.95,6.0,6.0,12.77,17.98,8.0,8.0,17.02,23.97,3.0,3.0,6.38,8.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.38,8.99,8.0,8.0,17.02,23.97,5.0,5.0,10.64,14.98,6.0,6.0,12.77,17.98,1.0,1.0,2.13,3.0,5.0,5.0,10.64,14.98,0.0,0.0,0.0,0.0,1.0,1.0,2.13,3.0,5.0,5.0,10.64,14.98,2.0,2.0,4.26,5.99,44.68,57.45,-12.77,93.87,-6.0,-6.0,-12.77,12.02,12.02,0.52,0.52,0.5,0.38,,0.05,0.56,0.33,0.62,0.5,0.0,2.13,0.11,4.26,0.0
4,新北國王,21|22|29|14038,李愷諺/簡祐哲/林書緯/飛米,1,33,41.0,632.0,10.53,10:32,632.0,10.53,10:32,16.0,16.0,39.02,54.68,25.0,25.0,60.98,85.44,17.0,17.0,41.46,58.1,7.0,7.0,17.07,23.92,10.0,10.0,24.39,34.18,5.0,5.0,12.2,17.09,7.0,7.0,17.07,23.92,2.0,2.0,4.88,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.32,10.25,7.0,7.0,17.07,23.92,5.0,5.0,12.2,17.09,5.0,5.0,12.2,17.09,1.0,1.0,2.44,3.42,4.0,4.0,9.76,13.67,0.0,0.0,0.0,0.0,1.0,1.0,2.44,3.42,4.0,4.0,9.76,13.67,2.0,2.0,4.88,6.84,39.02,60.98,-21.95,93.42,-9.0,-9.0,-21.95,10.53,10.53,0.47,0.47,0.5,0.29,,0.06,0.57,0.38,0.58,0.5,0.0,2.44,0.1,4.88,0.0
4,新北國王,21|22|34|14038,李愷諺/簡祐哲/沃許本/飛米,1,33,41.0,632.0,10.53,10:32,632.0,10.53,10:32,16.0,16.0,39.02,54.68,25.0,25.0,60.98,85.44,17.0,17.0,41.46,58.1,7.0,7.0,17.07,23.92,10.0,10.0,24.39,34.18,5.0,5.0,12.2,17.09,7.0,7.0,17.07,23.92,2.0,2.0,4.88,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.32,10.25,7.0,7.0,17.07,23.92,5.0,5.0,12.2,17.09,5.0,5.0,12.2,17.09,1.0,1.0,2.44,3.42,4.0,4.0,9.76,13.67,0.0,0.0,0.0,0.0,1.0,1.0,2.44,3.42,4.0,4.0,9.76,13.67,2.0,2.0,4.88,6.84,39.02,60.98,-21.95,93.42,-9.0,-9.0,-21.95,10.53,10.53,0.47,0.47,0.5,0.29,,0.06,0.57,0.38,0.58,0.5,0.0,2.44,0.1,4.88,0.0
4,新北國王,21|29|34|14038,李愷諺/林書緯/沃許本/飛米,1,37,45.0,690.0,11.5,11:30,690.0,11.5,11:30,16.0,16.0,35.56,50.09,29.0,29.0,64.44,90.78,18.0,18.0,40.0,56.35,7.0,7.0,15.56,21.91,11.0,11.0,24.44,34.43,5.0,5.0,11.11,15.65,7.0,7.0,15.56,21.91,2.0,2.0,4.44,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.67,9.39,8.0,8.0,17.78,25.04,5.0,5.0,11.11,15.65,5.0,5.0,11.11,15.65,2.0,2.0,4.44,6.26,4.0,4.0,8.89,12.52,0.0,0.0,0.0,0.0,1.0,1.0,2.22,3.13,4.0,4.0,8.89,12.52,2.0,2.0,4.44,6.26,35.56,64.44,-28.89,93.91,-13.0,-13.0,-28.89,11.5,11.5,0.44,0.44,0.45,0.29,,0.1,0.57,0.38,0.62,0.52,0.0,2.22,0.09,4.44,0.0
4,新北國王,22|29|34|14038,簡祐哲/林書緯/沃許本/飛米,1,48,62.0,882.0,14.7,14:42,882.0,14.7,14:42,22.0,22.0,35.48,53.88,42.0,42.0,67.74,102.86,26.0,26.0,41.94,63.67,9.0,9.0,14.52,22.04,16.0,16.0,25.81,39.18,7.0,7.0,11.29,17.14,10.0,10.0,16.13,24.49,2.0,2.0,3.23,4.9,2.0,2.0,3.23,4.9,2.0,2.0,3.23,4.9,7.0,7.0,11.29,17.14,10.0,10.0,16.13,24.49,6.0,6.0,9.68,14.69,6.0,6.0,9.68,14.69,2.0,2.0,3.23,4.9,6.0,6.0,9.68,14.69,1.0,1.0,1.61,2.45,2.0,2.0,3.23,4.9,6.0,6.0,9.68,14.69,7.0,7.0,11.29,17.14,35.48,67.74,-32.26,101.22,-20.0,-20.0,-32.26,14.7,14.7,0.38,0.41,0.44,0.2,1.0,0.07,0.67,0.54,0.62,0.59,1.61,3.23,0.1,11.29,0.08
